location	surah	verse	root	form	aspect	agreement	subject_label	subject_lemma	rule_fired	T1_object_clitic	T2_eqtb_obj	verse_text
(2:30:11:2)	2	30	jEl	I	IMPF	2MS	NONDIVINE		S-2P	0	1	وإذ قال ربك للملائكة إني جاعل في الأرض خليفة ۖ قالوا أتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك ۖ قال إني أعلم ما لا تعلمون
(2:30:19:1)	2	30	sbH	II	IMPF	1P	DIVINE		S-1P	0	0	وإذ قال ربك للملائكة إني جاعل في الأرض خليفة ۖ قالوا أتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك ۖ قال إني أعلم ما لا تعلمون
(2:30:21:2)	2	30	qds	II	IMPF	1P	DIVINE		S-1P	0	0	وإذ قال ربك للملائكة إني جاعل في الأرض خليفة ۖ قالوا أتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك ۖ قال إني أعلم ما لا تعلمون
(2:30:28:1)	2	30	Elm	I	IMPF	2MP	NONDIVINE		S-2P	0	0	وإذ قال ربك للملائكة إني جاعل في الأرض خليفة ۖ قالوا أتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك ۖ قال إني أعلم ما لا تعلمون
(2:30:2:1)	2	30	qwl	I	PERF	3MS	DIVINE	rab~	S-EXPL	0	1	وإذ قال ربك للملائكة إني جاعل في الأرض خليفة ۖ قالوا أتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك ۖ قال إني أعلم ما لا تعلمون
(2:31:10:1)	2	31	nbA	IV	IMPV	2MP	NONDIVINE		S-2P	1	1	وعلم آدم الأسماء كلها ثم عرضهم على الملائكة فقال أنبئوني بأسماء هؤلاء إن كنتم صادقين
(2:31:14:1)	2	31	kwn	I	PERF	2MP	NONDIVINE		S-2P	0	0	وعلم آدم الأسماء كلها ثم عرضهم على الملائكة فقال أنبئوني بأسماء هؤلاء إن كنتم صادقين
(2:32:8:1)	2	32	Elm	II	PERF	2MS	NONDIVINE		S-2P	1	1	قالوا سبحانك لا علم لنا إلا ما علمتنا ۖ إنك أنت العليم الحكيم
(2:33:19:1)	2	33	bdw	IV	IMPF	2MP	NONDIVINE		S-2P	0	0	قال يا آدم أنبئهم بأسمائهم ۖ فلما أنبأهم بأسمائهم قال ألم أقل لكم إني أعلم غيب السماوات والأرض وأعلم ما تبدون وما كنتم تكتمون
(2:33:1:1)	2	33	qwl	I	PERF	3MS	NONDIVINE	A^dam	S-EXPL	0	1	قال يا آدم أنبئهم بأسمائهم ۖ فلما أنبأهم بأسمائهم قال ألم أقل لكم إني أعلم غيب السماوات والأرض وأعلم ما تبدون وما كنتم تكتمون
(2:33:21:1)	2	33	kwn	I	PERF	2MP	NONDIVINE		S-2P	0	0	قال يا آدم أنبئهم بأسمائهم ۖ فلما أنبأهم بأسمائهم قال ألم أقل لكم إني أعلم غيب السماوات والأرض وأعلم ما تبدون وما كنتم تكتمون
(2:33:22:1)	2	33	ktm	I	IMPF	2MP	NONDIVINE		S-2P	0	0	قال يا آدم أنبئهم بأسمائهم ۖ فلما أنبأهم بأسمائهم قال ألم أقل لكم إني أعلم غيب السماوات والأرض وأعلم ما تبدون وما كنتم تكتمون
(2:33:3:1)	2	33	nbA	IV	IMPV	2MS	NONDIVINE		S-2P	1	1	قال يا آدم أنبئهم بأسمائهم ۖ فلما أنبأهم بأسمائهم قال ألم أقل لكم إني أعلم غيب السماوات والأرض وأعلم ما تبدون وما كنتم تكتمون
(2:34:2:1)	2	34	qwl	I	PERF	1P	DIVINE		S-1P	0	1	وإذ قلنا للملائكة اسجدوا لآدم فسجدوا إلا إبليس أبى واستكبر وكان من الكافرين
(2:34:4:1)	2	34	sjd	I	IMPV	2MP	NONDIVINE		S-2P	0	0	وإذ قلنا للملائكة اسجدوا لآدم فسجدوا إلا إبليس أبى واستكبر وكان من الكافرين
(2:35:11:1)	2	35	$yA	I	PERF	2D	NONDIVINE		S-2P	0	0	وقلنا يا آدم اسكن أنت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجرة فتكونا من الظالمين
(2:35:13:1)	2	35	qrb	I	IMPF	2D	NONDIVINE		S-2P	0	1	وقلنا يا آدم اسكن أنت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجرة فتكونا من الظالمين
(2:35:16:2)	2	35	kwn	I	IMPF	2D	NONDIVINE		S-2P	0	0	وقلنا يا آدم اسكن أنت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجرة فتكونا من الظالمين
(2:35:1:2)	2	35	qwl	I	PERF	1P	DIVINE		S-1P	0	1	وقلنا يا آدم اسكن أنت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجرة فتكونا من الظالمين
(2:35:3:1)	2	35	skn	I	IMPV	2MS	NONDIVINE		S-2P	0	1	وقلنا يا آدم اسكن أنت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجرة فتكونا من الظالمين
(2:35:7:2)	2	35	Akl	I	IMPV	2D	NONDIVINE		S-2P	0	0	وقلنا يا آدم اسكن أنت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجرة فتكونا من الظالمين
(2:36:1:2)	2	36	zll	IV	PERF	3MS	NONDIVINE	$ayoTa`n	S-EXPL	1	1	فأزلهما الشيطان عنها فأخرجهما مما كانا فيه ۖ وقلنا اهبطوا بعضكم لبعض عدو ۖ ولكم في الأرض مستقر ومتاع إلى حين
(2:36:8:2)	2	36	qwl	I	PERF	1P	DIVINE		S-1P	0	1	فأزلهما الشيطان عنها فأخرجهما مما كانا فيه ۖ وقلنا اهبطوا بعضكم لبعض عدو ۖ ولكم في الأرض مستقر ومتاع إلى حين
(2:36:9:1)	2	36	hbT	I	IMPV	2MP	NONDIVINE		S-2P	0	0	فأزلهما الشيطان عنها فأخرجهما مما كانا فيه ۖ وقلنا اهبطوا بعضكم لبعض عدو ۖ ولكم في الأرض مستقر ومتاع إلى حين
(2:37:1:2)	2	37	lqy	V	PERF	3MS	NONDIVINE	A^dam	S-EXPL	0	1	فتلقى آدم من ربه كلمات فتاب عليه ۚ إنه هو التواب الرحيم
(2:37:6:2)	2	37	twb	I	PERF	3MS	NONDIVINE	taw~aAb	S-EXPL	0	0	فتلقى آدم من ربه كلمات فتاب عليه ۚ إنه هو التواب الرحيم
(2:38:10:1)	2	38	tbE	I	PERF	3MS	NONDIVINE	hudFY	S-EXPL	0	0	قلنا اهبطوا منها جميعا ۖ فإما يأتينكم مني هدى فمن تبع هداي فلا خوف عليهم ولا هم يحزنون
(2:38:1:1)	2	38	qwl	I	PERF	1P	DIVINE		S-1P	0	1	قلنا اهبطوا منها جميعا ۖ فإما يأتينكم مني هدى فمن تبع هداي فلا خوف عليهم ولا هم يحزنون
(2:38:2:1)	2	38	hbT	I	IMPV	2MP	NONDIVINE		S-2P	0	0	قلنا اهبطوا منها جميعا ۖ فإما يأتينكم مني هدى فمن تبع هداي فلا خوف عليهم ولا هم يحزنون
(2:38:6:1)	2	38	Aty	I	IMPF	3MS	NONDIVINE	hudFY	S-EXPL	1	1	قلنا اهبطوا منها جميعا ۖ فإما يأتينكم مني هدى فمن تبع هداي فلا خوف عليهم ولا هم يحزنون
(2:40:13:2)	2	40	rhb	I	IMPV	2MP	NONDIVINE		S-2P	1	1	يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأوفوا بعهدي أوف بعهدكم وإياي فارهبون
(2:40:3:1)	2	40	*kr	I	IMPV	2MP	NONDIVINE		S-2P	0	1	يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأوفوا بعهدي أوف بعهدكم وإياي فارهبون
(2:40:8:2)	2	40	wfy	IV	IMPV	2MP	NONDIVINE		S-2P	0	0	يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأوفوا بعهدي أوف بعهدكم وإياي فارهبون
(2:41:13:1)	2	41	$ry	VIII	IMPF	2MP	NONDIVINE		S-2P	0	1	وآمنوا بما أنزلت مصدقا لما معكم ولا تكونوا أول كافر به ۖ ولا تشتروا بآياتي ثمنا قليلا وإياي فاتقون
(2:41:18:2)	2	41	wqy	VIII	IMPV	2MP	NONDIVINE		S-2P	1	1	وآمنوا بما أنزلت مصدقا لما معكم ولا تكونوا أول كافر به ۖ ولا تشتروا بآياتي ثمنا قليلا وإياي فاتقون
(2:41:1:2)	2	41	Amn	IV	IMPV	2MP	NONDIVINE		S-2P	0	0	وآمنوا بما أنزلت مصدقا لما معكم ولا تكونوا أول كافر به ۖ ولا تشتروا بآياتي ثمنا قليلا وإياي فاتقون
(2:41:8:1)	2	41	kwn	I	IMPF	2MP	NONDIVINE		S-2P	0	0	وآمنوا بما أنزلت مصدقا لما معكم ولا تكونوا أول كافر به ۖ ولا تشتروا بآياتي ثمنا قليلا وإياي فاتقون
(2:42:2:1)	2	42	lbs	I	IMPF	2MP	NONDIVINE		S-2P	0	1	ولا تلبسوا الحق بالباطل وتكتموا الحق وأنتم تعلمون
(2:42:5:2)	2	42	ktm	I	IMPF	2MP	NONDIVINE		S-2P	0	1	ولا تلبسوا الحق بالباطل وتكتموا الحق وأنتم تعلمون
(2:42:8:1)	2	42	Elm	I	IMPF	2MP	NONDIVINE		S-2P	0	0	ولا تلبسوا الحق بالباطل وتكتموا الحق وأنتم تعلمون
(2:43:1:2)	2	43	qwm	IV	IMPV	2MP	NONDIVINE		S-2P	0	1	وأقيموا الصلاة وآتوا الزكاة واركعوا مع الراكعين
(2:43:3:2)	2	43	Aty	IV	IMPV	2MP	NONDIVINE		S-2P	0	1	وأقيموا الصلاة وآتوا الزكاة واركعوا مع الراكعين
(2:43:5:2)	2	43	rkE	I	IMPV	2MP	NONDIVINE		S-2P	0	0	وأقيموا الصلاة وآتوا الزكاة واركعوا مع الراكعين
(2:44:10:1)	2	44	Eql	I	IMPF	2MP	NONDIVINE		S-2P	0	0	۞ أتأمرون الناس بالبر وتنسون أنفسكم وأنتم تتلون الكتاب ۚ أفلا تعقلون
