root	causative_form	mutawaa_form	n_causative	divine_causative	rate_causative	n_mutawaa	divine_mutawaa	rate_mutawaa	direction	perfect_dissociation	causative_locations	mutawaa_locations
qlb	II	VII	4	3	0.75	6	0	0.0	causative_more_divine	False	(6:110:1:2)=D;(18:18:5:2)=D;(18:42:4:1)=N;(24:44:1:1)=D	(3:144:14:1)=N;(3:149:11:2)=N;(5:21:13:2)=N;(9:95:5:1)=N;(48:12:5:1)=N;(67:4:5:1)=N
qrb	II	VIII	1	1	1.0	4	0	0.0	causative_more_divine	True	(19:52:6:2)=D	(7:185:17:1)=N;(21:97:1:2)=N;(54:1:1:1)=N;(96:19:5:2)=N
rAy	IV	VI	26	16	0.6154	2	0	0.0	causative_more_divine	False	(2:128:10:2)=N;(2:167:14:1)=D;(2:260:5:1)=N;(4:153:17:1)=N;(6:75:2:1)=D;(7:143:9:1)=N;(8:43:2:1)=D;(10:46:2:1)=D;(13:40:3:1)=D;(17:1:15:2)=D;(17:60:12:1)=D;(20:23:1:2)=D;(20:56:2:1)=D;(23:93:4:1)=N;(23:95:4:1)=D;(28:6:5:2)=D;(31:11:4:2)=N;(34:27:2:1)=N;(35:40:9:1)=N;(40:77:7:1)=D;(41:29:5:1)=N;(41:53:1:2)=D;(43:42:2:1)=D;(43:48:2:1)=D;(46:4:8:1)=N;(47:30:3:2)=D	(8:48:17:1)=N;(26:61:2:1)=N
rDw	IV	VI	1	1	1.0	1	0	0.0	causative_more_divine	True	(9:62:4:2)=D	(4:24:33:1)=N
swy	II	VIII	2	2	1.0	15	0	0.0	causative_more_divine	True	(26:98:2:1)=D;(75:4:5:1)=D	(4:95:2:1)=N;(5:100:3:1)=N;(6:50:24:1)=N;(13:16:21:1)=N;(13:16:26:1)=N;(16:75:21:1)=N;(23:28:2:1)=N;(35:12:2:1)=N;(35:19:2:1)=N;(35:22:2:1)=N;(40:58:2:1)=N;(41:34:2:1)=N;(43:13:1:2)=N;(43:13:9:1)=N;(59:20:2:1)=N
tbE	IV	VIII	8	3	0.375	72	11	0.1528	causative_more_divine	False	(7:175:9:2)=N;(10:90:5:2)=N;(15:18:5:2)=N;(20:78:1:2)=N;(23:44:11:2)=D;(28:42:1:2)=D;(37:10:5:2)=N;(77:17:2:1)=D	(2:120:17:1)=N;(2:120:8:1)=N;(2:145:21:1)=N;(2:168:10:1)=N;(2:170:10:1)=D;(2:170:4:1)=N;(2:208:9:1)=N;(3:31:6:2)=N;(3:53:5:2)=D;(3:68:6:1)=N;(3:95:4:2)=N;(3:167:17:2)=D;(4:83:27:2)=N;(4:135:24:1)=N;(5:48:19:1)=N;(5:49:8:1)=N;(5:77:11:1)=N;(6:106:1:1)=N;(6:142:10:1)=N;(6:148:31:1)=N;(6:150:16:1)=N;(6:153:5:2)=N;(6:153:7:1)=N;(6:155:5:2)=N;(7:3:1:1)=N;(7:3:8:1)=N;(7:90:8:1)=N;(7:142:21:1)=N;(7:158:29:2)=N;(7:193:6:1)=N;(10:36:2:1)=N;(10:89:7:1)=N;(10:109:1:2)=N;(11:27:14:1)=N;(13:37:6:1)=N;(14:44:16:2)=D;(15:65:6:2)=N;(16:123:5:1)=N;(17:47:16:1)=N;(18:70:3:1)=N;(19:43:10:2)=N;(20:90:14:2)=N;(20:93:2:1)=N;(20:134:13:2)=D;(23:71:2:1)=N;(24:21:5:1)=N;(25:8:14:1)=N;(26:40:2:1)=D;(26:111:4:2)=N;(26:224:2:1)=N;(28:35:14:1)=N;(28:47:14:2)=D;(28:57:3:1)=D;(29:12:6:1)=N;(31:15:18:2)=N;(31:21:10:1)=D;(31:21:4:1)=N;(33:2:1:2)=N;(36:20:9:1)=N;(36:21:1:1)=N;(38:26:12:1)=N;(39:55:1:2)=N;(40:38:5:1)=N;(42:15:7:1)=N;(43:61:7:2)=N;(45:18:7:2)=N;(45:18:9:1)=N;(48:15:17:1)=N;(48:15:9:1)=D;(52:21:3:2)=N;(54:24:5:1)=D;(75:18:3:2)=N
wSy	II	VI	7	6	0.8571	1	0	0.0	causative_more_divine	False	(2:132:1:2)=N;(4:131:9:1)=D;(6:144:21:1)=D;(29:8:1:2)=D;(31:14:1:2)=D;(42:13:13:1)=D;(46:15:1:2)=D	(51:53:1:2)=N
wSy	IV	VI	2	1	0.5	1	0	0.0	causative_more_divine	False	(4:11:1:1)=D;(4:12:46:1)=N	(51:53:1:2)=N
wfy	II	V	3	3	1.0	14	3	0.2143	causative_more_divine	False	(11:15:7:1)=D;(11:111:4:2)=D;(24:25:2:1)=D	(3:193:18:2)=N;(4:15:16:1)=N;(4:97:3:1)=N;(5:117:20:1)=N;(6:61:13:1)=N;(7:126:15:2)=N;(10:46:7:1)=D;(12:101:18:1)=N;(13:40:8:1)=D;(16:28:2:1)=N;(16:32:2:1)=N;(32:11:2:1)=N;(40:77:12:1)=D;(47:27:3:1)=N
wfy	IV	V	11	0	0.0	14	3	0.2143	mutawaa_more_divine	False	(2:40:8:2)=N;(5:1:4:1)=N;(6:152:12:2)=N;(6:152:30:1)=N;(7:85:19:2)=N;(11:85:2:1)=N;(12:88:13:2)=N;(16:91:1:2)=N;(17:34:12:2)=N;(17:35:1:2)=N;(26:181:1:1)=N	(3:193:18:2)=N;(4:15:16:1)=N;(4:97:3:1)=N;(5:117:20:1)=N;(6:61:13:1)=N;(7:126:15:2)=N;(10:46:7:1)=D;(12:101:18:1)=N;(13:40:8:1)=D;(16:28:2:1)=N;(16:32:2:1)=N;(32:11:2:1)=N;(40:77:12:1)=D;(47:27:3:1)=N
wkl	II	V	1	1	1.0	26	5	0.1923	causative_more_divine	False	(6:89:12:1)=D	(3:122:11:3)=N;(3:159:24:2)=N;(3:160:17:3)=N;(4:81:19:2)=N;(5:11:22:3)=N;(5:23:18:2)=N;(7:89:33:1)=D;(8:61:6:2)=N;(9:51:13:3)=N;(10:84:9:1)=N;(10:85:4:1)=D;(11:123:10:2)=N;(12:67:26:3)=N;(14:11:28:3)=N;(14:12:16:3)=N;(14:12:4:1)=D;(25:58:1:2)=N;(26:217:1:2)=N;(27:79:1:2)=N;(33:3:1:2)=N;(33:48:7:2)=N;(39:38:35:1)=N;(58:10:16:3)=N;(60:4:48:1)=D;(64:13:8:3)=N;(67:29:7:1)=D
wly	II	V	15	3	0.2	34	0	0.0	causative_more_divine	False	(2:115:5:1)=N;(2:144:10:2)=N;(2:144:18:2)=N;(2:144:7:3)=D;(2:149:4:2)=N;(2:150:12:2)=N;(2:150:4:2)=N;(2:177:4:1)=N;(4:115:14:1)=D;(6:129:2:1)=D;(8:15:10:1)=N;(9:25:22:1)=N;(18:18:17:2)=N;(21:57:6:1)=N;(40:33:2:1)=N	(2:64:2:1)=N;(2:83:24:1)=N;(3:20:20:1)=N;(3:23:16:1)=N;(5:92:7:1)=N;(8:20:8:1)=N;(8:23:9:2)=N;(9:3:22:1)=N;(9:23:15:1)=N;(9:50:14:2)=N;(9:76:7:2)=N;(9:92:14:1)=N;(10:72:2:1)=N;(11:3:19:1)=N;(11:52:16:1)=N;(11:57:2:1)=N;(16:82:2:1)=N;(16:100:5:1)=N;(20:60:1:2)=N;(24:47:7:1)=N;(24:54:7:1)=N;(27:28:7:1)=N;(37:174:1:2)=N;(37:178:1:2)=N;(47:22:4:1)=N;(47:38:22:1)=N;(48:16:21:1)=N;(48:16:23:1)=N;(51:54:1:2)=N;(54:6:1:2)=N;(60:9:16:1)=N;(60:9:18:1)=N;(60:13:5:1)=N;(64:12:6:1)=N
xlf	IV	VIII	9	6	0.6667	11	0	0.0	causative_more_divine	False	(2:80:14:1)=D;(3:194:13:1)=N;(20:58:9:1)=D;(20:86:25:2)=N;(20:87:3:1)=D;(22:47:4:1)=D;(30:6:4:1)=D;(34:39:17:1)=N;(39:20:18:1)=D	(3:55:30:1)=N;(5:48:51:1)=N;(6:164:29:1)=N;(8:42:13:2)=N;(10:19:7:2)=N;(16:92:32:1)=N;(19:37:1:2)=N;(22:69:9:1)=N;(42:10:2:1)=N;(43:63:13:1)=N;(43:65:1:2)=N
zyl	II	V	1	1	1.0	1	0	0.0	causative_more_divine	True	(10:28:11:2)=D	(48:25:34:1)=N
