root,root_arabic,total_occurrences,n_surahs,n_verses,first_surah,last_surah,meccan_count,medinan_count
fsd,فسد,50,23,47,2,89,33,17
Tyb,طيب,50,23,46,2,61,21,29
nfE,نفع,50,31,49,2,87,32,18
Eql,عقل,49,30,49,2,67,30,19
swE,سوع,49,27,44,6,79,42,7
TEm,طعم,48,26,41,2,107,26,22
x$y,خشي,48,24,40,2,98,22,26
Avm,اثم,48,21,42,2,83,13,35
qdm,قدم,48,37,48,2,89,29,19
Ejl,عجل,47,25,44,2,76,37,10
krm,كرم,47,29,46,4,96,34,13
Ehd,عهد,46,17,36,2,70,16,30
zyn,زين,46,28,43,2,67,32,14
Sdr,صدر,46,31,43,3,114,31,15
SrT,صرط,45,25,45,1,67,33,12
nsy,نسي,45,20,37,2,87,33,12
w*r,وذر,45,29,43,2,76,36,9
SbH,صبح,45,25,43,3,100,34,11
bdl,بدل,44,25,40,2,76,23,21
srr,سرر,44,33,43,2,88,30,14
ysr,يسر,44,27,40,2,94,27,17
HfZ,حفظ,44,23,42,2,86,31,13
dbr,دبر,44,31,44,3,79,28,16
trk,ترك,43,20,37,2,75,24,19
fwq,فوق,43,27,41,2,78,27,16
jwb,جوب,43,23,41,2,89,33,10
H$r,حشر,43,28,43,2,81,34,9
fSl,فصل,43,24,42,2,86,37,6
mkr,مكر,43,14,23,3,71,33,10
Hzn,حزن,42,25,42,2,58,26,16
bHr,بحر,42,25,40,2,82,34,8
qwy,قوي,42,25,39,2,86,30,12
sxr,سخر,42,21,35,2,69,33,9
Sdd,صدد,42,23,41,2,63,19,23
lEn,لعن,41,18,36,2,48,11,30
Twf,طوف,41,22,35,2,76,14,27
krh,كره,41,21,35,2,61,14,27
jhd,جهد,41,19,36,2,66,11,30
jbl,جبل,41,33,39,2,101,35,6
flH,فلح,40,24,40,2,91,23,17
$Er,شعر,40,23,40,2,69,30,10
mlA,ملا,40,18,40,2,72,38,2
Tgy,طغي,39,27,39,2,96,29,10
$rb,شرب,39,22,34,2,83,28,11
*nb,ذنب,39,26,37,3,91,22,17
slT,سلط,39,27,39,3,69,31,8
qrr,قرر,38,22,37,2,77,29,9
blw,بلو,38,25,35,2,89,21,17
ftH,فتح,38,25,33,2,110,24,14
hwy,هوي,38,22,37,2,101,26,12
mrA,مرا,38,22,37,2,111,24,14
*rr,ذرر,38,21,36,2,99,25,13
sbq,سبق,37,24,35,2,79,30,7
Alw,الو,37,6,37,2,55,3,34
nkr,نكر,37,26,37,3,67,23,14
ryb,ريب,36,26,35,2,74,20,16
qTE,قطع,36,23,36,2,69,20,16
bTl,بطل,36,24,34,2,47,22,14
Hdv,حدث,36,28,36,2,99,27,9
Any,اني,36,25,36,2,89,20,16
Awy,اوي,36,23,36,3,93,19,17
qrn,قرن,36,20,34,4,50,34,2
Hyn,حين,35,23,33,2,76,29,6
Efw,عفو,35,11,31,2,64,6,29
gfl,غفل,35,21,35,2,50,27,8
mrr,مرر,35,22,32,2,83,24,11
wrv,ورث,35,20,34,2,89,27,8
kyd,كيد,35,16,29,3,105,31,4
hzA,هزا,34,21,32,2,46,24,10
wvq,وثق,34,13,29,2,89,7,27
jnH,جنح,34,14,32,2,60,7,27
xfy,خفي,34,21,31,2,87,19,15
Emy,عمي,33,22,30,2,80,22,11
Zll,ظلل,33,20,31,2,77,26,7
Hjj,حجج,33,10,26,2,45,10,23
kfy,كفي,33,15,32,2,48,14,19
$ms,شمس,33,28,32,2,91,28,5
Er$,عرش,33,25,32,2,85,28,5
jnb,جنب,33,21,31,3,92,20,13
qsm,قسم,33,24,31,4,90,26,7
mdd,مدد,32,24,29,2,104,25,7
brr,برر,32,18,30,2,83,18,14
ESy,عصي,32,23,32,2,79,18,14
wry,وري,32,25,31,2,100,20,12
wsE,وسع,32,15,29,2,65,13,19
wSy,وصي,32,13,21,2,103,16,16
vlv,ثلث,32,20,28,2,77,14,18
nSb,نصب,32,19,29,2,94,15,17
brk,برك,32,22,32,3,67,28,4
Thr,طهر,31,18,26,2,98,7,24
bdw,بدو,31,16,29,2,60,13,18
Hyv,حيث,31,14,29,2,68,15,16
$fE,شفع,31,19,26,2,89,23,8
brA,برا,31,20,28,2,98,11,20
xlS,خلص,31,17,30,2,98,26,5
qEd,قعد,31,15,26,2,85,12,19
$rr,شرر,31,22,30,2,114,19,12
hjr,هجر,31,17,27,2,74,9,22
glb,غلب,31,18,28,2,80,18,13
lbv,لبث,31,17,27,2,79,27,4
sEy,سعي,30,20,28,2,92,20,10
Srf,صرف,30,17,29,2,46,25,5
qSS,قصص,30,14,25,2,40,23,7
Anv,انث,30,17,26,2,92,19,11
Esy,عسي,30,16,28,2,68,15,15
Afk,افك,30,21,29,5,69,24,6
g$w,غشو,29,23,26,2,92,22,7
vny,ثني,29,18,24,2,68,18,11
rfE,رفع,29,21,29,2,94,17,12
wdd,ودد,29,18,28,2,85,10,19
Syr,صير,29,22,29,2,67,9,20
jdl,جدل,29,16,27,2,58,19,10
jnd,جند,29,18,27,2,85,20,9
Tyr,طير,29,19,24,2,105,21,8
fwz,فوز,29,21,27,3,85,10,19
dry,دري,29,21,28,4,104,26,3
yqn,يقن,28,19,28,2,102,23,5
xlw,خلو,28,18,28,2,84,12,16
HwT,حوط,28,18,27,2,85,18,10
sbE,سبع,28,16,24,2,78,22,6
Edl,عدل,28,11,24,2,82,13,15
$qq,شقق,28,21,25,2,84,14,14
Abd,ابد,28,15,28,2,98,5,23
vwb,ثوب,28,15,23,2,83,10,18
rjw,رجو,28,21,27,2,78,20,8
vql,ثقل,28,19,26,4,101,19,9
n$A,نشا,28,14,25,6,73,26,2
$jr,شجر,27,19,26,2,56,21,6
mnn,منن,27,20,25,2,95,18,9
bwb,بوب,27,17,24,2,78,21,6
E$r,عشر,27,19,26,2,89,15,12
Ejb,عجب,27,17,24,2,72,14,13
msk,مسك,27,17,24,2,83,17,10
grr,غرر,27,14,21,3,82,17,10
syr,سير,27,21,25,3,81,22,5
wzr,وزر,27,11,14,6,94,26,1
qmr,قمر,27,23,26,6,91,24,3
nbt,نبت,26,21,23,2,80,20,6
xzy,خزي,26,15,24,2,66,14,12
hwn,هون,26,19,26,2,89,14,12
jHm,جحم,26,18,26,2,102,20,6
wDE,وضع,26,18,24,3,94,9,17
Ejz,عجز,26,21,25,5,72,20,6
$ry,شري,25,8,23,2,31,4,21
Hwl,حول,25,19,25,2,46,17,8
sqy,سقي,25,19,24,2,91,18,7
wEZ,وعظ,25,14,24,2,65,11,14
HDr,حضر,25,16,25,2,81,16,9
flk,فلك,25,20,25,2,45,23,2
bTn,بطن,25,18,25,2,57,15,10
Hdd,حدد,25,12,20,2,65,4,21
bsT,بسط,25,15,23,2,71,16,9
qsT,قسط,25,15,22,2,72,9,16
whb,وهب,25,12,22,3,42,21,4
lsn,لسن,25,18,24,3,90,17,8
Sly,صلي,25,21,25,4,111,20,5
gDb,غضب,24,15,21,1,60,13,11
mrD,مرض,24,13,23,2,74,3,21
kwd,كود,24,19,24,2,72,16,8
vmr,ثمر,24,12,22,2,47,17,7
fjr,فجر,24,16,21,2,97,18,6
*ll,ذلل,24,17,23,2,76,14,10
jhl,جهل,24,17,24,2,49,15,9
Emr,عمر,24,14,19,2,52,15,9
fH$,فحش,24,15,23,2,65,13,11
rqb,رقب,24,14,20,2,90,11,13
A*y,اذي,24,10,22,2,61,4,20
wqE,وقع,24,16,22,4,77,21,3
m$y,مشي,23,14,20,2,68,18,5
lbs,لبس,23,13,20,2,78,18,5
grq,غرق,23,18,23,2,79,21,2
ytm,يتم,23,12,22,2,107,8,15
srE,سرع,23,14,23,2,70,11,12
nkH,نكح,23,6,19,2,60,1,22
Tlq,طلق,23,10,21,2,77,8,15
srf,سرف,23,17,21,3,51,20,3
wzn,وزن,23,14,21,6,101,18,5
rbE,ربع,22,11,21,2,58,5,17
xTA,خطا,22,13,20,2,96,15,7
Alf,الف,22,12,19,2,106,7,15
tmm,تمم,22,12,20,2,66,10,12
gwy,غوي,22,11,18,2,53,21,1
trb,ترب,22,18,22,2,90,18,4
frH,فرح,22,13,21,3,57,14,8
Erb,عرب,22,15,22,9,56,11,11
H*r,حذر,21,12,19,2,64,4,17
Hjr,حجر,21,14,18,2,105,13,8
ktm,كتم,21,7,20,2,40,2,19
hwd,هود,21,10,21,2,62,10,11
mny,مني,21,10,18,2,75,6,15
$hr,شهر,21,9,17,2,97,4,17
Hlm,حلم,21,16,20,2,64,9,12
bqy,بقي,21,16,21,2,87,18,3
snn,سنن,21,11,15,3,48,11,10
fty,فتي,21,7,19,4,37,15,6
Avr,اثر,21,16,21,5,87,17,4
Hmm,حمم,21,15,20,6,78,18,3
n$r,نشر,21,18,20,17,81,19,2
snw,سنو,20,17,20,2,70,16,4
mry,مري,20,16,19,2,54,17,3
drj,درج,20,16,20,2,68,11,9
rbw,ربو,20,12,15,2,69,9,11
nxl,نخل,20,16,20,2,80,16,4
nzE,نزع,20,16,20,3,79,14,6
nfx,نفخ,20,17,18,3,78,17,3
fqh,فقه,20,12,20,4,63,10,10
SnE,صنع,20,14,19,5,35,16,4
Hzb,حزب,20,13,17,5,58,11,9
lEb,لعب,20,13,20,5,70,15,5
fTr,فطر,20,17,19,6,82,20,0
k$f,كشف,20,14,20,6,68,20,0
vmn,ثمن,19,13,19,2,69,8,11
grb,غرب,19,13,17,2,73,11,8
bld,بلد,19,15,19,2,95,17,2
r$d,رشد,19,9,19,2,72,15,4
Swr,صور,19,17,17,2,82,14,5
TlE,طلع,19,13,18,3,104,17,2
sEr,سعر,19,15,19,4,84,13,6
fkh,فكه,19,12,19,23,83,16,3
frD,فرض,18,7,14,2,66,1,17
mll,ملل,18,11,16,2,38,9,9
dbb,دبب,18,14,18,2,45,13,5
rAs,راس,18,15,17,2,63,11,7
xSm,خصم,18,12,17,2,50,13,5
fkr,فكر,18,13,18,2,74,13,5
vbt,ثبت,18,11,17,2,47,8,10
ldn,لدن,18,10,17,3,28,12,6
HSn,حصن,18,7,12,4,66,3,15
nfr,نفر,18,10,16,4,74,10,8
mkn,مكن,18,12,16,6,81,15,3
nwb,نوب,18,11,18,11,60,16,2
swr,سور,17,13,16,2,76,6,11
x$E,خشع,17,16,16,2,88,11,6
bwA,بوا,17,12,16,2,59,8,9
Ew*,عوذ,17,14,17,2,114,15,2
xff,خفف,17,13,17,2,101,10,7
mnE,منع,17,16,17,2,107,13,4
$rq,شرق,17,13,17,2,73,11,6
Sfw,صفو,17,12,16,2,47,8,9
rbS,ربص,17,7,12,2,57,6,11
nqm,نقم,17,12,16,3,85,12,5
Awb,اوب,17,8,17,3,88,14,3
zEm,زعم,17,10,16,4,68,14,3
swq,سوق,17,13,16,7,75,15,2
mdn,مدن,17,11,17,7,63,13,4
jhr,جهر,16,13,15,2,87,10,6
Eln,علن,16,12,16,2,71,11,5
lbb,لبب,16,10,16,2,65,8,8
xwn,خون,16,8,11,2,66,3,13
mhd,مهد,16,13,15,2,78,10,6
HbT,حبط,16,12,16,2,49,5,11
xbv,خبث,16,9,10,2,24,5,11
gdw,غدو,16,13,16,3,68,12,4
gll,غلل,16,12,13,3,76,8,8
Etd,عتد,16,10,16,4,76,9,7
sTr,سطر,16,14,16,6,88,14,2
lhw,لهو,16,13,15,6,102,10,6
fAd,فاد,16,13,15,6,104,16,0
