root,root_arabic,total_occurrences,n_surahs,n_verses,first_surah,last_surah,meccan_count,medinan_count
fSm,فصم,1,1,1,2,2,0,1
snh,سنه,1,1,1,2,2,0,1
Sld,صلد,1,1,1,2,2,0,1
Tll,طلل,1,1,1,2,2,0,1
gmD,غمض,1,1,1,2,2,0,1
lHf,لحف,1,1,1,2,2,0,1
xbT,خبط,1,1,1,2,2,0,1
rmz,رمز,1,1,1,3,3,0,1
*xr,ذخر,1,1,1,3,3,0,1
bhl,بهل,1,1,1,3,3,0,1
dnr,دنر,1,1,1,3,3,0,1
gzw,غزو,1,1,1,3,3,0,1
fZZ,فظظ,1,1,1,3,3,0,1
Hwb,حوب,1,1,1,4,4,0,1
Ewl,عول,1,1,1,4,4,0,1
bdr,بدر,1,1,1,4,4,0,1
fDw,فضو,1,1,1,4,4,0,1
jbt,جبت,1,1,1,4,4,0,1
nDj,نضج,1,1,1,4,4,0,1
vby,ثبي,1,1,1,4,4,0,1
bTA,بطا,1,1,1,4,4,0,1
*yE,ذيع,1,1,1,4,4,0,1
nbT,نبط,1,1,1,4,4,0,1
rgm,رغم,1,1,1,4,4,0,1
btk,بتك,1,1,1,4,4,0,1
*b*b,ذبذب,1,1,1,4,4,0,1
xnq,خنق,1,1,1,5,5,0,1
wq*,وقذ,1,1,1,5,5,0,1
nTH,نطح,1,1,1,5,5,0,1
*kw,ذكو,1,1,1,5,5,0,1
tyh,تيه,1,1,1,5,5,0,1
bHv,بحث,1,1,1,5,5,0,1
nfy,نفي,1,1,1,5,5,0,1
nhj,نهج,1,1,1,5,5,0,1
qss,قسس,1,1,1,5,5,0,1
rmH,رمح,1,1,1,5,5,0,1
syb,سيب,1,1,1,5,5,0,1
Hyr,حير,1,1,1,6,6,1,0
nwy,نوي,1,1,1,6,6,1,0
qnw,قنو,1,1,1,6,6,1,0
ynE,ينع,1,1,1,6,6,1,0
DAn,ضان,1,1,1,6,6,1,0
mEz,معز,1,1,1,6,6,1,0
$Hm,شحم,1,1,1,6,6,1,0
*Am,ذام,1,1,1,7,7,1,0
ry$,ريش,1,1,1,7,7,1,0
Hvv,حثث,1,1,1,7,7,1,0
nkd,نكد,1,1,1,7,7,1,0
shl,سهل,1,1,1,7,7,1,0
qml,قمل,1,1,1,7,7,1,0
DfdE,ضفدع,1,1,1,7,7,1,0
jrr,جرر,1,1,1,7,7,1,0
$mt,شمت,1,1,1,7,7,1,0
skt,سكت,1,1,1,7,7,1,0
bjs,بجس,1,1,1,7,7,1,0
ntq,نتق,1,1,1,7,7,1,0
Smt,صمت,1,1,1,7,7,1,0
$wk,شوك,1,1,1,8,8,0,1
zHf,زحف,1,1,1,8,8,0,1
Hwz,حوز,1,1,1,8,8,0,1
mkw,مكو,1,1,1,8,8,0,1
$rd,شرد,1,1,1,8,8,0,1
ksd,كسد,1,1,1,9,9,0,1
wTn,وطن,1,1,1,9,9,0,1
njs,نجس,1,1,1,9,9,0,1
DhA,ضها,1,1,1,9,9,0,1
kwy,كوي,1,1,1,9,9,0,1
jbh,جبه,1,1,1,9,9,0,1
vbT,ثبط,1,1,1,9,9,0,1
jmH,جمح,1,1,1,9,9,0,1
jrf,جرف,1,1,1,9,9,0,1
zry,زري,1,1,1,11,11,1,0
blE,بلع,1,1,1,11,11,1,0
qlE,قلع,1,1,1,11,11,1,0
Hn*,حنذ,1,1,1,11,11,1,0
rwE,روع,1,1,1,11,11,1,0
TrH,طرح,1,1,1,12,12,1,0
rtE,رتع,1,1,1,12,12,1,0
drhm,درهم,1,1,1,12,12,1,0
zhd,زهد,1,1,1,12,12,1,0
glq,غلق,1,1,1,12,12,1,0
hyt,هيت,1,1,1,12,12,1,0
$gf,شغف,1,1,1,12,12,1,0
xbz,خبز,1,1,1,12,12,1,0
HSHS,حصحص,1,1,1,12,12,1,0
myr,مير,1,1,1,12,12,1,0
SwE,صوع,1,1,1,12,12,1,0
ftA,فتا,1,1,1,12,12,1,0
vrb,ثرب,1,1,1,12,12,1,0
fnd,فند,1,1,1,12,12,1,0
mHl,محل,1,1,1,13,13,0,1
jfA,جفا,1,1,1,13,13,0,1
jrE,جرع,1,1,1,14,14,1,0
rmd,رمد,1,1,1,14,14,1,0
frE,فرع,1,1,1,14,14,1,0
jvv,جثث,1,1,1,14,14,1,0
lqH,لقح,1,1,1,15,15,1,0
fDH,فضح,1,1,1,15,15,1,0
EDw,عضو,1,1,1,15,15,1,0
dfA,دفا,1,1,1,16,16,1,0
bgl,بغل,1,1,1,16,16,1,0
dss,دسس,1,1,1,16,16,1,0
frv,فرث,1,1,1,16,16,1,0
Hfd,حفد,1,1,1,16,16,1,0
jww,جوو,1,1,1,16,16,1,0
ZEn,ظعن,1,1,1,16,16,1,0
Swf,صوف,1,1,1,16,16,1,0
wbr,وبر,1,1,1,16,16,1,0
wkd,وكد,1,1,1,16,16,1,0
gzl,غزل,1,1,1,16,16,1,0
jws,جوس,1,1,1,17,17,1,0
ngD,نغض,1,1,1,17,17,1,0
Hnk,حنك,1,1,1,17,17,1,0
wfr,وفر,1,1,1,17,17,1,0
qSf,قصف,1,1,1,17,17,1,0
dlk,دلك,1,1,1,17,17,1,0
hjd,هجد,1,1,1,17,17,1,0
xbw,خبو,1,1,1,17,17,1,0
fjw,فجو,1,1,1,18,18,1,0
yqZ,يقظ,1,1,1,18,18,1,0
srdq,سردق,1,1,1,18,18,1,0
byd,بيد,1,1,1,18,18,1,0
wAl,وال,1,1,1,18,18,1,0
qDD,قضض,1,1,1,18,18,1,0
Eyb,عيب,1,1,1,18,18,1,0
gSb,غصب,1,1,1,18,18,1,0
rdm,ردم,1,1,1,18,18,1,0
$El,شعل,1,1,1,19,19,1,0
Hnn,حنن,1,1,1,19,19,1,0
mxD,مخض,1,1,1,19,19,1,0
Htm,حتم,1,1,1,19,19,1,0
Ddd,ضدد,1,1,1,19,19,1,0
wfd,وفد,1,1,1,19,19,1,0
Add,ادد,1,1,1,19,19,1,0
hdd,هدد,1,1,1,19,19,1,0
rkz,ركز,1,1,1,19,19,1,0
vry,ثري,1,1,1,20,20,1,0
xlE,خلع,1,1,1,20,20,1,0
nEl,نعل,1,1,1,20,20,1,0
h$$,هشش,1,1,1,20,20,1,0
sHl,سحل,1,1,1,20,20,1,0
wny,وني,1,1,1,20,20,1,0
lHy,لحي,1,1,1,20,20,1,0
zrq,زرق,1,1,1,20,20,1,0
SfSf,صفصف,1,1,1,20,20,1,0
Amt,امت,1,1,1,20,20,1,0
hms,همس,1,1,1,20,20,1,0
Enw,عنو,1,1,1,20,20,1,0
Dnk,ضنك,1,1,1,20,20,1,0
zhr,زهر,1,1,1,20,20,1,0
qSm,قصم,1,1,1,21,21,1,0
dmg,دمغ,1,1,1,21,21,1,0
rtq,رتق,1,1,1,21,21,1,0
ftq,فتق,1,1,1,21,21,1,0
klA,كلا,1,1,1,21,21,1,0
nfH,نفح,1,1,1,21,21,1,0
fhm,فهم,1,1,1,21,21,1,0
nwn,نون,1,1,1,21,21,1,0
Hdb,حدب,1,1,1,21,21,1,0
*hl,ذهل,1,1,1,22,22,0,1
hmd,همد,1,1,1,22,22,0,1
ETf,عطف,1,1,1,22,22,0,1
mjs,مجس,1,1,1,22,22,0,1
qmE,قمع,1,1,1,22,22,0,1
Dmr,ضمر,1,1,1,22,22,0,1
Emq,عمق,1,1,1,22,22,0,1
tfv,تفث,1,1,1,22,22,0,1
wjb,وجب,1,1,1,22,22,0,1
hdm,هدم,1,1,1,22,22,0,1
SmE,صمع,1,1,1,22,22,0,1
bAr,بار,1,1,1,22,22,0,1
sTw,سطو,1,1,1,22,22,0,1
slb,سلب,1,1,1,22,22,0,1
lfH,لفح,1,1,1,23,23,1,0
klH,كلح,1,1,1,23,23,1,0
Aym,ايم,1,1,1,24,24,0,1
*En,ذعن,1,1,1,24,24,0,1
Hyf,حيف,1,1,1,24,24,0,1
lw*,لوذ,1,1,1,24,24,0,1
fln,فلن,1,1,1,25,25,1,0
fsr,فسر,1,1,1,25,25,1,0
EbA,عبا,1,1,1,25,25,1,0
Dyr,ضير,1,1,1,26,26,1,0
$r*m,شرذم,1,1,1,26,26,1,0
Twd,طود,1,1,1,26,26,1,0
kbkb,كبكب,1,1,1,26,26,1,0
ryE,ريع,1,1,1,26,26,1,0
frh,فره,1,1,1,26,26,1,0
bsm,بسم,1,1,1,27,27,1,0
hdhd,هدهد,1,1,1,27,27,1,0
xbA,خبا,1,1,1,27,27,1,0
Efr,عفر,1,1,1,27,27,1,0
jmd,جمد,1,1,1,27,27,1,0
tqn,تقن,1,1,1,27,27,1,0
wkz,وكز,1,1,1,28,28,1,0
*wd,ذود,1,1,1,28,28,1,0
j*w,جذو,1,1,1,28,28,1,0
bqE,بقع,1,1,1,28,28,1,0
fSH,فصح,1,1,1,28,28,1,0
rdA,ردا,1,1,1,28,28,1,0
qbH,قبح,1,1,1,28,28,1,0
nwA,نوا,1,1,1,28,28,1,0
xTT,خطط,1,1,1,29,29,1,0
msw,مسو,1,1,1,30,30,1,0
SEr,صعر,1,1,1,31,31,1,0
xtr,ختر,1,1,1,31,31,1,0
jfw,جفو,1,1,1,32,32,1,0
jwf,جوف,1,1,1,33,33,0,1
Ewq,عوق,1,1,1,33,33,0,1
slq,سلق,1,1,1,33,33,0,1
nHb,نحب,1,1,1,33,33,0,1
SyS,صيص,1,1,1,33,33,0,1
srd,سرد,1,1,1,34,34,1,0
jfn,جفن,1,1,1,34,34,1,0
Erm,عرم,1,1,1,34,34,1,0
xmT,خمط,1,1,1,34,34,1,0
Avl,اثل,1,1,1,34,34,1,0
nw$,نوش,1,1,1,34,34,1,0
qTmr,قطمر,1,1,1,35,35,1,0
qmH,قمح,1,1,1,36,36,1,0
Erjn,عرجن,1,1,1,36,36,1,0
msx,مسخ,1,1,1,36,36,1,0
lzb,لزب,1,1,1,37,37,1,0
gwl,غول,1,1,1,37,37,1,0
$wb,شوب,1,1,1,37,37,1,0
zff,زفف,1,1,1,37,37,1,0
tll,تلل,1,1,1,37,37,1,0
jbn,جبن,1,1,1,37,37,1,0
Abq,ابق,1,1,1,37,37,1,0
shm,سهم,1,1,1,37,37,1,0
lqm,لقم,1,1,1,37,37,1,0
swH,سوح,1,1,1,37,37,1,0
lwt,لوت,1,1,1,38,38,1,0
nwS,نوص,1,1,1,38,38,1,0
qTT,قطط,1,1,1,38,38,1,0
Sfn,صفن,1,1,1,38,38,1,0
jwd,جود,1,1,1,38,38,1,0
rxw,رخو,1,1,1,38,38,1,0
q$Er,قشعر,1,1,1,39,39,1,0
$ks,شكس,1,1,1,39,39,1,0
$mz,شمز,1,1,1,39,39,1,0
fwD,فوض,1,1,1,40,40,1,0
rkd,ركد,1,1,1,42,42,1,0
rhw,رهو,1,1,1,44,44,1,0
Hqf,حقف,1,1,1,46,46,1,0
tEs,تعس,1,1,1,47,47,0,1
Asn,اسن,1,1,1,47,47,0,1
Esl,عسل,1,1,1,47,47,0,1
mEy,معي,1,1,1,47,47,0,1
$rT,شرط,1,1,1,47,47,0,1
qfl,قفل,1,1,1,47,47,0,1
lHn,لحن,1,1,1,47,47,0,1
nbz,نبز,1,1,1,49,49,0,1
lqb,لقب,1,1,1,49,49,0,1
jss,جسس,1,1,1,49,49,0,1
lyt,ليت,1,1,1,49,49,0,1
bsq,بسق,1,1,1,50,50,1,0
lfZ,لفظ,1,1,1,50,50,1,0
Hyd,حيد,1,1,1,50,50,1,0
Hbk,حبك,1,1,1,51,51,1,0
hjE,هجع,1,1,1,51,51,1,0
Skk,صكك,1,1,1,51,51,1,0
rqq,رقق,1,1,1,52,52,1,0
Alt,الت,1,1,1,52,52,1,0
qwb,قوب,1,1,1,53,53,1,0
qws,قوس,1,1,1,53,53,1,0
Dyz,ضيز,1,1,1,53,53,1,0
kdy,كدي,1,1,1,53,53,1,0
qny,قني,1,1,1,53,53,1,0
smd,سمد,1,1,1,53,53,1,0
hmr,همر,1,1,1,54,54,1,0
dsr,دسر,1,1,1,54,54,1,0
qEr,قعر,1,1,1,54,54,1,0
dhy,دهي,1,1,1,54,54,1,0
Anm,انم,1,1,1,55,55,0,1
fny,فني,1,1,1,55,55,0,1
$wZ,شوظ,1,1,1,55,55,0,1
fnn,فنن,1,1,1,55,55,0,1
dhm,دهم,1,1,1,55,55,0,1
nDx,نضخ,1,1,1,55,55,0,1
xym,خيم,1,1,1,55,55,0,1
rfrf,رفرف,1,1,1,55,55,0,1
Ebqr,عبقر,1,1,1,55,55,0,1
wDn,وضن,1,1,1,56,56,1,0
xDd,خضد,1,1,1,56,56,1,0
TlH,طلح,1,1,1,56,56,1,0
skb,سكب,1,1,1,56,56,1,0
mzn,مزن,1,1,1,56,56,1,0
jls,جلس,1,1,1,58,58,0,1
rSS,رصص,1,1,1,61,61,0,1
x$b,خشب,1,1,1,63,63,0,1
snd,سند,1,1,1,63,63,0,1
gbn,غبن,1,1,1,64,64,0,1
vyb,ثيب,1,1,1,66,66,0,1
nmm,نمم,1,1,1,68,68,1,0
znm,زنم,1,1,1,68,68,1,0
xrTm,خرطم,1,1,1,68,68,1,0
Hrd,حرد,1,1,1,68,68,1,0
Hsm,حسم,1,1,1,69,69,1,0
SrE,صرع,1,1,1,69,69,1,0
why,وهي,1,1,1,69,69,1,0
wtn,وتن,1,1,1,69,69,1,0
hlE,هلع,1,1,1,70,70,1,0
Ezw,عزو,1,1,1,70,70,1,0
wfD,وفض,1,1,1,70,70,1,0
nsr,نسر,1,1,1,71,71,1,0
Hrs,حرس,1,1,1,72,72,1,0
hrb,هرب,1,1,1,72,72,1,0
Hry,حري,1,1,1,72,72,1,0
gdq,غدق,1,1,1,72,72,1,0
zml,زمل,1,1,1,73,73,1,0
gSS,غصص,1,1,1,73,73,1,0
kvb,كثب,1,1,1,73,73,1,0
hyl,هيل,1,1,1,73,73,1,0
dvr,دثر,1,1,1,74,74,1,0
qsr,قسر,1,1,1,74,74,1,0
Hrk,حرك,1,1,1,75,75,1,0
trq,ترق,1,1,1,75,75,1,0
mTw,مطو,1,1,1,75,75,1,0
sdy,سدي,1,1,1,75,75,1,0
m$j,مشج,1,1,1,76,76,0,1
qmTr,قمطر,1,1,1,76,76,0,1
zmhr,زمهر,1,1,1,76,76,0,1
kft,كفت,1,1,1,77,77,1,0
$mx,شمخ,1,1,1,77,77,1,0
whj,وهج,1,1,1,78,78,1,0
vjj,ثجج,1,1,1,78,78,1,0
dhq,دهق,1,1,1,78,78,1,0
nxr,نخر,1,1,1,79,79,1,0
shr,سهر,1,1,1,79,79,1,0
smk,سمك,1,1,1,79,79,1,0
gT$,غطش,1,1,1,79,79,1,0
dHw,دحو,1,1,1,79,79,1,0
Tmm,طمم,1,1,1,79,79,1,0
qDb,قضب,1,1,1,80,80,1,0
Abb,ابب,1,1,1,80,80,1,0
Sxx,صخخ,1,1,1,80,80,1,0
kdr,كدر,1,1,1,81,81,1,0
wH$,وحش,1,1,1,81,81,1,0
wAd,واد,1,1,1,81,81,1,0
k$T,كشط,1,1,1,81,81,1,0
kns,كنس,1,1,1,81,81,1,0
EsEs,عسعس,1,1,1,81,81,1,0
Dnn,ضنن,1,1,1,81,81,1,0
Tff,طفف,1,1,1,83,83,1,0
ryn,رين,1,1,1,83,83,1,0
rHq,رحق,1,1,1,83,83,1,0
snm,سنم,1,1,1,83,83,1,0
gmz,غمز,1,1,1,83,83,1,0
dfq,دفق,1,1,1,86,86,1,0
hzl,هزل,1,1,1,86,86,1,0
sTH,سطح,1,1,1,88,88,1,0
swT,سوط,1,1,1,89,89,1,0
jmm,جمم,1,1,1,89,89,1,0
kbd,كبد,1,1,1,90,90,1,0
$fh,شفه,1,1,1,90,90,1,0
njd,نجد,1,1,1,90,90,1,0
sgb,سغب,1,1,1,90,90,1,0
THw,طحو,1,1,1,91,91,1,0
lhm,لهم,1,1,1,91,91,1,0
dsw,دسو,1,1,1,91,91,1,0
dmdm,دمدم,1,1,1,91,91,1,0
lZy,لظي,1,1,1,92,92,1,0
sjw,سجو,1,1,1,93,93,1,0
tyn,تين,1,1,1,95,95,1,0
sfE,سفع,1,1,1,96,96,1,0
zbn,زبن,1,1,1,96,96,1,0
DbH,ضبح,1,1,1,100,100,1,0
qdH,قدح,1,1,1,100,100,1,0
nqE,نقع,1,1,1,100,100,1,0
knd,كند,1,1,1,100,100,1,0
HSl,حصل,1,1,1,100,100,1,0
fyl,فيل,1,1,1,105,105,1,0
$tw,شتو,1,1,1,106,106,1,0
Syf,صيف,1,1,1,106,106,1,0
mEn,معن,1,1,1,107,107,1,0
nHr,نحر,1,1,1,108,108,1,0
btr,بتر,1,1,1,108,108,1,0
jyd,جيد,1,1,1,111,111,1,0
msd,مسد,1,1,1,111,111,1,0
Smd,صمد,1,1,1,112,112,1,0
kfA,كفا,1,1,1,112,112,1,0
wqb,وقب,1,1,1,113,113,1,0
nfv,نفث,1,1,1,113,113,1,0
