band,surah,verse,V,len,num_names
MID,31,18,34,54,1
Q3,31,26,34,40,3
LAST,31,34,34,100,1
FIRST,32,1,30,3,0
Q1,32,8,30,25,0
MID,32,16,30,56,0
Q3,32,23,30,59,0
LAST,32,30,30,26,0
FIRST,33,1,73,61,1
Q1,33,19,73,155,1
MID,33,37,73,196,1
Q3,33,55,73,126,1
LAST,33,73,73,93,1
FIRST,34,1,54,67,3
Q1,34,14,54,109,0
MID,34,28,54,54,0
Q3,34,41,54,58,0
LAST,34,54,54,57,0
FIRST,35,1,45,100,1
Q1,35,12,45,127,0
MID,35,23,45,12,0
Q3,35,34,45,45,1
LAST,35,45,45,97,1
FIRST,36,1,83,2,0
Q1,36,21,83,29,0
MID,36,42,83,23,0
Q3,36,63,83,21,0
LAST,36,83,83,35,0
FIRST,37,1,182,11,0
Q1,37,46,182,16,0
MID,37,92,182,13,0
Q3,37,137,182,22,0
LAST,37,182,182,19,1
FIRST,38,1,88,15,0
Q1,38,22,88,93,0
MID,38,44,88,54,0
Q3,38,66,88,37,2
LAST,38,88,88,17,0
FIRST,39,1,75,29,3
Q1,39,19,75,38,0
MID,39,38,75,148,1
Q3,39,57,75,32,1
LAST,39,75,75,77,2
FIRST,40,1,85,2,0
Q1,40,22,85,63,1
MID,40,43,85,86,1
Q3,40,64,85,98,1
LAST,40,85,85,70,1
FIRST,41,1,54,2,0
Q1,41,14,54,94,1
MID,41,28,54,61,1
Q3,41,41,54,39,0
LAST,41,54,54,39,0
FIRST,42,1,53,2,0
Q1,42,14,53,114,0
MID,42,27,53,68,1
Q3,42,40,53,57,1
LAST,42,53,53,56,1
FIRST,43,1,89,2,0
Q1,43,23,89,83,0
MID,43,45,89,53,1
Q3,43,67,89,34,0
LAST,43,89,89,26,0
FIRST,44,1,59,2,0
Q1,44,15,59,29,0
MID,44,30,59,33,0
Q3,44,45,59,18,0
LAST,44,59,59,17,0
FIRST,45,1,37,2,0
Q1,45,10,37,72,1
MID,45,19,37,64,1
Q3,45,28,37,54,0
LAST,45,37,37,42,2
FIRST,46,1,35,2,0
Q1,46,9,35,74,0
MID,46,18,35,66,0
Q3,46,27,35,47,0
LAST,46,35,35,107,0
FIRST,47,1,38,35,1
Q1,47,10,38,75,1
MID,47,20,38,117,0
Q3,47,29,38,40,1
LAST,47,38,38,129,2
FIRST,48,1,29,19,0
Q1,48,8,29,27,0
MID,48,15,29,141,1
Q3,48,22,29,52,0
LAST,48,29,29,249,1
FIRST,49,1,18,64,1
Q1,49,5,18,48,1
MID,49,10,18,53,1
Q3,49,14,18,116,1
LAST,49,18,18,45,1
FIRST,50,1,45,14,1
Q1,50,12,45,30,0
MID,50,23,45,21,0
Q3,50,34,45,24,0
LAST,50,45,45,53,0
FIRST,51,1,60,13,0
Q1,51,16,60,37,0
MID,51,30,60,32,2
Q3,51,46,60,31,0
LAST,51,60,60,31,0
FIRST,52,1,49,6,0
Q1,52,13,49,21,0
MID,52,25,49,24,0
Q3,52,37,49,28,0
LAST,52,49,49,25,0
FIRST,53,1,62,12,0
Q1,53,16,62,18,0
MID,53,32,62,129,0
Q3,53,47,62,19,0
LAST,53,62,62,17,1
FIRST,54,1,55,22,0
Q1,54,14,55,24,0
MID,54,28,55,32,0
Q3,54,42,55,36,0
LAST,54,55,55,21,0
FIRST,55,1,78,6,1
Q1,55,20,78,18,0
MID,55,40,78,19,0
Q3,55,59,78,19,0
LAST,55,78,78,27,0
FIRST,56,1,96,14,0
Q1,56,24,96,18,0
MID,56,48,96,15,0
Q3,56,72,96,30,0
LAST,56,96,96,17,0
FIRST,57,1,29,39,3
Q1,57,8,29,69,1
MID,57,15,29,64,0
Q3,57,22,29,69,1
LAST,57,29,29,85,2
FIRST,58,1,22,73,1
Q1,58,6,22,64,1
MID,58,12,22,92,1
Q3,58,17,22,64,1
LAST,58,22,22,221,2
FIRST,59,1,24,43,3
Q1,59,6,24,90,1
MID,59,12,24,73,0
Q3,59,18,24,72,1
LAST,59,24,24,78,6
FIRST,60,1,13,220,2
Q1,60,4,13,221,1
MID,60,7,13,63,1
Q3,60,10,13,258,1
LAST,60,13,13,80,1
FIRST,61,1,14,43,3
Q1,61,4,14,46,1
MID,61,8,14,54,1
Q3,61,11,14,72,1
LAST,61,14,14,164,1
FIRST,62,1,11,52,5
Q1,62,3,11,37,2
MID,62,6,11,71,1
Q3,62,9,11,88,1
LAST,62,11,11,88,1
FIRST,63,1,11,82,1
Q1,63,3,11,44,0
MID,63,6,11,70,1
Q3,63,9,11,75,1
LAST,63,11,11,44,1
FIRST,64,1,18,59,1
Q1,64,5,18,53,0
MID,64,10,18,59,0
Q3,64,14,18,87,1
LAST,64,18,18,29,2
FIRST,65,1,12,173,1
Q1,65,4,12,118,1
MID,65,6,12,146,0
Q3,65,10,12,72,1
LAST,65,12,12,96,1
FIRST,66,1,12,57,1
Q1,66,4,12,92,1
MID,66,6,12,107,1
Q3,66,10,12,121,1
