count,kind,n_items,items_buckwalter,items_arabic,pos_summary,sample_translations
14,lemma,32,DaA^l~ | laqu | kalima`t | xaA$iE | Eadol | gaDab | >axolafu | waAlid | laEonap | m~uhiyn | >alof | maqaAm | balad | $aAkir | Huduwd | {botigaA^' | nakaHa | Halalo | kaf~ara | Sarafa | Eadala | >uxot | >aEotadato | Zil~ | layot | <i*aA2 | >avar | Sidoq | qaAdir | ka$afa | >amiyn | madiynap,ضَا^لّ | لَقُ | كَلِمَٰت | خَاشِع | عَدْل | غَضَب | أَخْلَفُ | وَالِد | لَعْنَة | مُّهِين | أَلْف | مَقَام | بَلَد | شَاكِر | حُدُود | ٱبْتِغَا^ء | نَكَحَ | حَلَلْ | كَفَّرَ | صَرَفَ | عَدَلَ | أُخْت | أَعْتَدَتْ | ظِلّ | لَيْت | إِذَا2 | أَثَر | صِدْق | قَادِر | كَشَفَ | أَمِين | مَدِينَة,DaA^l~=N; laqu=V; kalima`t=N; xaA$iE=N; Eadol=N; gaDab=N; >axolafu=V; waAlid=N; laEonap=N; m~uhiyn=ADJ; >alof=N; maqaAm=N; balad=N; $aAkir=N; Huduwd=N; {botigaA^'=N; nakaHa=V; Halalo=V; kaf~ara=V; Sarafa=V; Eadala=V; >uxot=N; >aEotadato=V; Zil~=N; layot=ACC; <i*aA2=SUR; >avar=N; Sidoq=N; qaAdir=N; ka$afa=V; >amiyn=ADJ; madiynap=N,"DaA^l~: The path of those upon whom You have bestowed favor, not of those who have evoke || laqu: And when they meet those who believe, they say, ""We believe""; but when they are  || kalima`t: Then Adam received from his Lord [some] words, and He accepted his repentance. I || xaA$iE: And seek help through patience and prayer, and indeed, it is difficult except fo || Eadol: And fear a Day when no soul will suffice for another soul at all, nor will inter || gaDab: And [recall] when you said, ""O Mos"
14,root,13,Hrv | Swm | fqr | wlj | rjm | E$w | vwy | lwm | wSf | zrE | rsw | ETw | Sff,حرث | صوم | فقر | ولج | رجم | عشو | ثوي | لوم | وصف | زرع | رسو | عطو | صفف,,
13,lemma,30,mufoliHuwn | m~araD | mad~a | saw~aY` | >abaY | $afa`Eap | Harov | Huson | vala`vap | qitaAl | tarab~aSo | riDowa`n | gula`m | vawaAb | mavowFY | ga$iya | jamoE | gaAlib | yaSolaY | wariva | zaEama | {vonayon | >aToEama | mak~a | bagotap | n~ajom | yaSifu | >asomaEa | Ha`fiZ | SayoHap,مُفْلِحُون | مَّرَض | مَدَّ | سَوَّىٰ | أَبَى | شَفَٰعَة | حَرْث | حُسْن | ثَلَٰثَة | قِتَال | تَرَبَّصْ | رِضْوَٰن | غُلَٰم | ثَوَاب | مَثْوًى | غَشِيَ | جَمْع | غَالِب | يَصْلَى | وَرِثَ | زَعَمَ | ٱثْنَيْن | أَطْعَمَ | مَكَّ | بَغْتَة | نَّجْم | يَصِفُ | أَسْمَعَ | حَٰفِظ | صَيْحَة,mufoliHuwn=N; m~araD=N; mad~a=V; saw~aY`=V; >abaY=V; $afa`Eap=N; Harov=N; Huson=N; vala`vap=N; qitaAl=N; tarab~aSo=V; riDowa`n=N; gula`m=N; vawaAb=N; mavowFY=N; ga$iya=V; jamoE=N; gaAlib=N; yaSolaY=V; wariva=V; zaEama=V; {vonayon=N; >aToEama=V; mak~a=V; bagotap=N; n~ajom=N; yaSifu=V; >asomaEa=V; Ha`fiZ=N; SayoHap=N,"mufoliHuwn: Those are upon [right] guidance from their Lord, and it is those who are the suc || m~araD: In their hearts is disease, so Allah has increased their disease; and for them i || mad~a: [But] Allah mocks them and prolongs them in their transgression [while] they wan || saw~aY`: It is He who created for you all of that which is on the earth. Then He directed || >abaY: And [mention] when We said to the angels, ""Prostrate before Adam""; so they prost || $afa`Eap: And fear a Day when no soul"
13,root,26,Aby | rkE | fdy | qnt | rAf | wqt | qrD | xll | Tmn | Sgr | $hw | glm | Hwr | ESm | fwh | glZ | jwr | jld | Hlf | yAs | bgt | xzn | njm | Dyq | nSH | SyH,ابي | ركع | فدي | قنت | راف | وقت | قرض | خلل | طمن | صغر | شهو | غلم | حور | عصم | فوه | غلظ | جور | جلد | حلف | ياس | بغت | خزن | نجم | ضيق | نصح | صيح,,
12,lemma,50,yuwqinu | >aSam~ | quTiEa | taw~aAb | >adonaY` | saqaY` | HaA^j~a | >aEolan | <iHosa`n | m~anaEa | <imaAm | <isomaAEiyl | zak~aY` | {SoTafaY` | Haniyf | yunZaru | laHom | HabiTa | >aroHaAm | yaHo*aru | faqiyr | <injiyl | Sal~aY` | Tiyn | >afowa`h | Ea`mil | qaEada | >axozayo | tadoriY | Halafo | HafiyZ | waqaEa | bariY^' | fatoH | qaT~aEa | wizor | jaHadu | xa`liq | muEojiz | bada>a | >aworava | siniyn | xar~a | masokan | {sota_#o*ana | kafuwr | m~awoEid | TagaY` | salaka | n~uTofap,يُوقِنُ | أَصَمّ | قُطِعَ | تَوَّاب | أَدْنَىٰ | سَقَىٰ | حَا^جَّ | أَعْلَن | إِحْسَٰن | مَّنَعَ | إِمَام | إِسْمَاعِيل | زَكَّىٰ | ٱصْطَفَىٰ | حَنِيف | يُنظَرُ | لَحْم | حَبِطَ | أَرْحَام | يَحْذَرُ | فَقِير | إِنجِيل | صَلَّىٰ | طِين | أَفْوَٰه | عَٰمِل | قَعَدَ | أَخْزَيْ | تَدْرِى | حَلَفْ | حَفِيظ | وَقَعَ | بَرِى^ء | فَتْح | قَطَّعَ | وِزْر | جَحَدُ | خَٰلِق | مُعْجِز | بَدَأَ | أَوْرَثَ | سِنِين | خَرَّ | مَسْكَن | ٱسْتَـ#ْذَنَ | كَفُور | مَّوْعِد | طَغَىٰ | سَلَكَ | نُّطْفَة,yuwqinu=V; >aSam~=N; quTiEa=V; taw~aAb=N; >adonaY`=N; saqaY`=V; HaA^j~a=V; >aEolan=V; <iHosa`n=N; m~anaEa=V; <imaAm=N; <isomaAEiyl=PN; zak~aY`=V; {SoTafaY`=V; Haniyf=N; yunZaru=V; laHom=N; HabiTa=V; >aroHaAm=N; yaHo*aru=V; faqiyr=N; <injiyl=PN; Sal~aY`=V; Tiyn=N; >afowa`h=N; Ea`mil=N; qaEada=V; >axozayo=V; tadoriY=V; Halafo=V; HafiyZ=N; waqaEa=V; bariY^'=N; fatoH=N; qaT~aEa=V; wizor=N; jaHadu=V; xa`liq=N; muEojiz=N; bada>a=V; >aworava=V; siniyn=N; xar~a=V; masokan=N; {sota_#o*ana=V; kafuwr=ADJ; m~awoEid=N; TagaY`=V; salaka=V; n~uTofap=N,"yuwqinu: And who believe in what has been revealed to you, [O Muhammad], and what was rev || >aSam~: Deaf, dumb and blind - so they will not return [to the right path]. || quTiEa: Who break the covenant of Allah after contracting it and sever that which Allah  || taw~aAb: Then Adam received from his Lord [some] words, and He accepted his repentance. I || >adonaY`: And [recall] when you said, ""O Moses, we can never endure one [kind of] food. So || saqaY`: He said, ""He says, 'It is a cow neither t"
12,root,32,$bh | wSl | rhb | ESw | bkr | TmE | nb* | nyl | Hnf | Hsr | lHm | sfr | Esr | byD | xTb | knn | Tyn | jby | bxl | drk | wdy | xwD | jHd | $yE | $ml | xrr | E*r | $qw | sjn | slk | nTf | nTq,شبه | وصل | رهب | عصو | بكر | طمع | نبذ | نيل | حنف | حسر | لحم | سفر | عسر | بيض | خطب | كنن | طين | جبي | بخل | درك | ودي | خوض | جحد | شيع | شمل | خرر | عذر | شقو | سجن | سلك | نطف | نطق,,
11,lemma,53,ka*aba | EaraDa | <iboliys | yaqorabu | vaman | labaso | haAdu | huzuw | xizoY | bagoy | Ea`hada | ma$oriq | yanaAlu | waS~aY` | EaAbid | muxoliS | ra'uwf | Eid~ap | tamat~aEa | >aEojaba | fasaAd | Eiz~ap | Hasob | saxira | nafoE | sir~ | qadar | DiEof | kaviyrap | Ealiy~ | $araAb | Einab | <iHodaY | naASir | masiyH | >awolaY` | badaA | najowaY`^ | >a*ohaba | hawaA^' | TabaEa | $iyEap | naxol | $uEayob | qawiY~ | Eadon | banaY` | >anaAba | Earabiy~ | m~aEoluwm | majonuwn | yas~ara | fa`kihap,كَذَبَ | عَرَضَ | إِبْلِيس | يَقْرَبُ | ثَمَن | لَبَسْ | هَادُ | هُزُو | خِزْى | بَغْي | عَٰهَدَ | مَشْرِق | يَنَالُ | وَصَّىٰ | عَابِد | مُخْلِص | رَءُوف | عِدَّة | تَمَتَّعَ | أَعْجَبَ | فَسَاد | عِزَّة | حَسْب | سَخِرَ | نَفْع | سِرّ | قَدَر | ضِعْف | كَثِيرَة | عَلِيّ | شَرَاب | عِنَب | إِحْدَى | نَاصِر | مَسِيح | أَوْلَىٰ | بَدَا | نَجْوَىٰ^ | أَذْهَبَ | هَوَا^ء | طَبَعَ | شِيعَة | نَخْل | شُعَيْب | قَوِىّ | عَدْن | بَنَىٰ | أَنَابَ | عَرَبِيّ | مَّعْلُوم | مَجْنُون | يَسَّرَ | فَٰكِهَة,ka*aba=V; EaraDa=V; <iboliys=PN; yaqorabu=V; vaman=N; labaso=V; haAdu=V; huzuw=N; xizoY=N; bagoy=N; Ea`hada=V; ma$oriq=N; yanaAlu=V; waS~aY`=V; EaAbid=N; muxoliS=N; ra'uwf=N; Eid~ap=N; tamat~aEa=V; >aEojaba=V; fasaAd=N; Eiz~ap=N; Hasob=N; saxira=V; nafoE=N; sir~=N; qadar=N; DiEof=N; kaviyrap=ADJ; Ealiy~=N; $araAb=N; Einab=N; <iHodaY=N; naASir=N; masiyH=PN; >awolaY`=N; badaA=V; najowaY`^=N; >a*ohaba=V; hawaA^'=N; TabaEa=V; $iyEap=N; naxol=N; $uEayob=PN; qawiY~=N; Eadon=PN; banaY`=V; >anaAba=V; Earabiy~=ADJ; m~aEoluwm=N; majonuwn=N; yas~ara=V; fa`kihap=N,"ka*aba: In their hearts is disease, so Allah has increased their disease; and for them i || EaraDa: And He taught Adam the names - all of them. Then He showed them to the angels an || <iboliys: And [mention] when We said to the angels, ""Prostrate before Adam""; so they prost || yaqorabu: And We said, ""O Adam, dwell, you and your wife, in Paradise and eat therefrom in || vaman: And believe in what I have sent down confirming that which is [already] with you || labaso: And do not mix the truth with"
11,root,27,Ewn | sfh | wqd | SEq | gmm | Twr | Ayd | sHb | sbb | lgw | rDE | fAy | Enb | ymm | Hrb | gyZ | Trf | zbr | qSr | TbE | Trq | jml | wrd | wkA | HSy | frr | $fq,عون | سفه | وقد | صعق | غمم | طور | ايد | سحب | سبب | لغو | رضع | فاي | عنب | يمم | حرب | غيظ | طرف | زبر | قصر | طبع | طرق | جمل | ورد | وكا | حصي | فرر | شفق,,
10,lemma,61,suwrap | HijaArap | yaSilu | dam | musotaqar~ | Eijol | fasaqa | EaSaA2 | Tuwr | Eu*o | jaAhil | naba*a | magorib | taqab~ala | >aDaAEu | xayora`t | m~uSiybap | m~ariyD | libaAs | qatol | sariyE | >aHaq~ | Tal~aqa | fi}ap | vab~ato | mar~a | miA}ap | saEoy | nazaEa | yuwliju | m~uHoDar | Ea$iY~ | >amad~a | kaY | {jotabaY` | baxila | SaAHib | m~uqiym | jab~aAr | Dar~ | rijos | HaAqa | lahow | Sar~afo | $afiyE | S~uwr | faTara | zaroE | m~uxotalif | Zahara | kayol | madoyan | jin~ap | {sotaqa`mu | >aEoraAb | 'aAminiyn | rawa`siY | $akuwr | >aHoSaY` | wa`liday | Sad~aqa,سُورَة | حِجَارَة | يَصِلُ | دَم | مُسْتَقَرّ | عِجْل | فَسَقَ | عَصَا2 | طُور | عُذْ | جَاهِل | نَبَذَ | مَغْرِب | تَقَبَّلَ | أَضَاعُ | خَيْرَٰت | مُّصِيبَة | مَّرِيض | لِبَاس | قَتْل | سَرِيع | أَحَقّ | طَلَّقَ | فِئَة | ثَبَّتْ | مَرَّ | مِائَة | سَعْي | نَزَعَ | يُولِجُ | مُّحْضَر | عَشِىّ | أَمَدَّ | كَى | ٱجْتَبَىٰ | بَخِلَ | صَاحِب | مُّقِيم | جَبَّار | ضَرّ | رِجْس | حَاقَ | لَهْو | صَرَّفْ | شَفِيع | صُّور | فَطَرَ | زَرْع | مُّخْتَلِف | ظَهَرَ | كَيْل | مَدْيَن | جِنَّة | ٱسْتَقَٰمُ | أَعْرَاب | ءَامِنِين | رَوَٰسِى | شَكُور | أَحْصَىٰ | وَٰلِدَي | صَدَّقَ,suwrap=N; HijaArap=N; yaSilu=V; dam=N; musotaqar~=N; Eijol=N; fasaqa=V; EaSaA2=N; Tuwr=N; Eu*o=V; jaAhil=N; naba*a=V; magorib=N; taqab~ala=V; >aDaAEu=V; xayora`t=N; m~uSiybap=N; m~ariyD=N; libaAs=N; qatol=N; sariyE=N; >aHaq~=N; Tal~aqa=V; fi}ap=N; vab~ato=V; mar~a=V; miA}ap=N; saEoy=N; nazaEa=V; yuwliju=V; m~uHoDar=N; Ea$iY~=N; >amad~a=V; kaY=SUB; {jotabaY`=V; baxila=V; SaAHib=N; m~uqiym=N; jab~aAr=ADJ; Dar~=N; rijos=N; HaAqa=V; lahow=N; Sar~afo=V; $afiyE=N; S~uwr=N; faTara=V; zaroE=N; m~uxotalif=N; Zahara=V; kayol=N; madoyan=PN; jin~ap=N; {sotaqa`mu=V; >aEoraAb=N; 'aAminiyn=N; rawa`siY=N; $akuwr=ADJ; >aHoSaY`=V; wa`liday=N; Sad~aqa=V,"suwrap: And if you are in doubt about what We have sent down upon Our Servant [Muhammad] || HijaArap: But if you do not - and you will never be able to - then fear the Fire, whose fu || yaSilu: Who break the covenant of Allah after contracting it and sever that which Allah  || dam: And [mention, O Muhammad], when your Lord said to the angels, ""Indeed, I will ma || musotaqar~: But Satan caused them to slip out of it and removed them from that [condition] i || Eijol: And [recall] when We made an a"
10,root,27,dmw | qds | rjz | rEy | DyE | nqS | swd | zyl | Ezl | dfE | mAy | kfl | mlw | Twl | sfl | jbr | rjs | Hyq | qhr | Etw | dmr | bT$ | ASl | DHk | rhq | zlf | jdd,دمو | قدس | رجز | رعي | ضيع | نقص | سود | زيل | عزل | دفع | ماي | كفل | ملو | طول | سفل | جبر | رجس | حيق | قهر | عتو | دمر | بطش | اصل | ضحك | رهق | زلف | جدد,,
