count,kind,n_items,items_buckwalter,items_arabic,pos_summary,sample_translations
43,lemma,4,Hamod | nuwr | <isoraA}iyl | nuwH,حَمْد | نُور | إِسْرَائِيل | نُوح,Hamod=N; nuwr=N; <isoraA}iyl=PN; nuwH=PN,"Hamod: [All] praise is [due] to Allah, Lord of the worlds - || nuwr: Their example is that of one who kindled a fire, but when it illuminated what wa || <isoraA}iyl: O Children of Israel, remember My favor which I have bestowed upon you and fulfi || nuwH: Indeed, Allah chose Adam and Noah and the family of Abraham and the family of 'I"
43,root,6,trk | fwq | jwb | H$r | fSl | mkr,ترك | فوق | جوب | حشر | فصل | مكر,,
42,lemma,6,sab~aHa | jazaA^' | {sotaTaAEa | >udoxila | sawof | sala`m,سَبَّحَ | جَزَا^ء | ٱسْتَطَاعَ | أُدْخِلَ | سَوْف | سَلَٰم,sab~aHa=V; jazaA^'=N; {sotaTaAEa=V; >udoxila=V; sawof=FUT; sala`m=N,"sab~aHa: And [mention, O Muhammad], when your Lord said to the angels, ""Indeed, I will ma || jazaA^': Then, you are those [same ones who are] killing one another and evicting a party || {sotaTaAEa: They ask you about the sacred month - about fighting therein. Say, ""Fighting the || >udoxila: Every soul will taste death, and you will only be given your [full] compensation || sawof: And whoever does that in aggression and injustice - then We will drive him into  || sala`m: O you who have believed, "
42,root,5,Hzn | bHr | qwy | sxr | Sdd,حزن | بحر | قوي | سخر | صدد,,
41,lemma,6,fawoq | Eal~ama | suboHa`n | baHor | Hamala | Ea*~aba,فَوْق | عَلَّمَ | سُبْحَٰن | بَحْر | حَمَلَ | عَذَّبَ,fawoq=N; Eal~ama=V; suboHa`n=N; baHor=N; Hamala=V; Ea*~aba=V,"fawoq: Indeed, Allah is not timid to present an example - that of a mosquito or what is || Eal~ama: And He taught Adam the names - all of them. Then He showed them to the angels an || suboHa`n: They said, ""Exalted are You; we have no knowledge except what You have taught us || baHor: And [recall] when We parted the sea for you and saved you and drowned the people || Hamala: And their prophet said to them, ""Indeed, a sign of his kingship is that the ches || Ea*~aba: To Allah belongs whatever is i"
41,root,5,lEn | Twf | krh | jhd | jbl,لعن | طوف | كره | جهد | جبل,,
40,lemma,12,taraka | {sotakobara | {hotadaY` | >arayo | wayol | bi}osa | xa$iYa | balaga | {sotagofara | kabiyr | tawak~alo | $ariyk,تَرَكَ | ٱسْتَكْبَرَ | ٱهْتَدَىٰ | أَرَيْ | وَيْل | بِئْسَ | خَشِىَ | بَلَغَ | ٱسْتَغْفَرَ | كَبِير | تَوَكَّلْ | شَرِيك,taraka=V; {sotakobara=V; {hotadaY`=V; >arayo=V; wayol=N; bi}osa=V; xa$iYa=V; balaga=V; {sotagofara=V; kabiyr=ADJ; tawak~alo=V; $ariyk=N,"taraka: Their example is that of one who kindled a fire, but when it illuminated what wa || {sotakobara: And [mention] when We said to the angels, ""Prostrate before Adam""; so they prost || {hotadaY`: And [recall] when We gave Moses the Scripture and criterion that perhaps you wou || >arayo: So, We said, ""Strike the slain man with part of it."" Thus does Allah bring the d || wayol: So woe to those who write the ""scripture"" with their own hands, then say, ""This  || bi}osa: How wretched is that for "
40,root,3,flH | $Er | mlA,فلح | شعر | ملا,,
39,lemma,8,{som | >alaA^ | <i*on | musolim | m~aAta | Har~ama | HisaAb | jabal,ٱسْم | أَلَا^ | إِذْن | مُسْلِم | مَّاتَ | حَرَّمَ | حِسَاب | جَبَل,{som=N; >alaA^=INC; <i*on=N; musolim=N; m~aAta=V; Har~ama=V; HisaAb=N; jabal=N,"{som: In the name of Allah, the Entirely Merciful, the Especially Merciful. || >alaA^: Unquestionably, it is they who are the corrupters, but they perceive [it] not. || <i*on: Say, ""Whoever is an enemy to Gabriel - it is [none but] he who has brought the Q || musolim: Our Lord, and make us Muslims [in submission] to You and from our descendants a  || m~aAta: And Abraham instructed his sons [to do the same] and [so did] Jacob, [saying], "" || Har~ama: He has only forbidden to you dead animals, blo"
39,root,4,Tgy | $rb | *nb | slT,طغي | شرب | ذنب | سلط,,
38,lemma,6,bu$~ira | m~ay~it | muHosin | r~aDiYa | m~aEoruwf | Dala`l,بُشِّرَ | مَّيِّت | مُحْسِن | رَّضِىَ | مَّعْرُوف | ضَلَٰل,bu$~ira=V; m~ay~it=N; muHosin=N; r~aDiYa=V; m~aEoruwf=N; Dala`l=N,"bu$~ira: And give good tidings to those who believe and do righteous deeds that they will || m~ay~it: How can you disbelieve in Allah when you were lifeless and He brought you to lif || muHosin: And [recall] when We said, ""Enter this city and eat from it wherever you will in || r~aDiYa: And never will the Jews or the Christians approve of you until you follow their  || m~aEoruwf: O you who have believed, prescribed for you is legal retribution for those murde || Dala`l: Certainly did Allah confe"
38,root,6,qrr | blw | ftH | hwy | mrA | *rr,قرر | بلو | فتح | هوي | مرا | ذرر,,
