s1,v1,s2,v2,sim,lev
55,21,55,36,1.0000,0
55,21,55,38,1.0000,0
55,21,55,40,1.0000,0
55,21,55,42,1.0000,0
55,21,55,45,1.0000,0
55,21,55,47,1.0000,0
55,21,55,49,1.0000,0
55,21,55,51,1.0000,0
55,21,55,53,1.0000,0
55,21,55,55,1.0000,0
55,21,55,57,1.0000,0
55,21,55,59,1.0000,0
55,21,55,61,1.0000,0
55,21,55,63,1.0000,0
55,21,55,65,1.0000,0
55,21,55,67,1.0000,0
55,21,55,69,1.0000,0
55,21,55,71,1.0000,0
55,21,55,73,1.0000,0
55,21,55,75,1.0000,0
55,21,55,77,1.0000,0
55,23,55,25,1.0000,0
55,23,55,28,1.0000,0
55,23,55,30,1.0000,0
55,23,55,32,1.0000,0
55,23,55,34,1.0000,0
55,23,55,36,1.0000,0
55,23,55,38,1.0000,0
55,23,55,40,1.0000,0
55,23,55,42,1.0000,0
55,23,55,45,1.0000,0
55,23,55,47,1.0000,0
55,23,55,49,1.0000,0
55,23,55,51,1.0000,0
55,23,55,53,1.0000,0
55,23,55,55,1.0000,0
55,23,55,57,1.0000,0
55,23,55,59,1.0000,0
55,23,55,61,1.0000,0
55,23,55,63,1.0000,0
55,23,55,65,1.0000,0
55,23,55,67,1.0000,0
55,23,55,69,1.0000,0
55,23,55,71,1.0000,0
55,23,55,73,1.0000,0
55,23,55,75,1.0000,0
55,23,55,77,1.0000,0
55,25,55,28,1.0000,0
55,25,55,30,1.0000,0
55,25,55,32,1.0000,0
55,25,55,34,1.0000,0
55,25,55,36,1.0000,0
55,25,55,38,1.0000,0
55,25,55,40,1.0000,0
55,25,55,42,1.0000,0
55,25,55,45,1.0000,0
55,25,55,47,1.0000,0
55,25,55,49,1.0000,0
55,25,55,51,1.0000,0
55,25,55,53,1.0000,0
55,25,55,55,1.0000,0
55,25,55,57,1.0000,0
55,25,55,59,1.0000,0
55,25,55,61,1.0000,0
55,25,55,63,1.0000,0
55,25,55,65,1.0000,0
55,25,55,67,1.0000,0
55,25,55,69,1.0000,0
55,25,55,71,1.0000,0
55,25,55,73,1.0000,0
55,25,55,75,1.0000,0
55,25,55,77,1.0000,0
55,27,55,78,0.7188,9
55,28,55,30,1.0000,0
55,28,55,32,1.0000,0
55,28,55,34,1.0000,0
55,28,55,36,1.0000,0
55,28,55,38,1.0000,0
55,28,55,40,1.0000,0
55,28,55,42,1.0000,0
55,28,55,45,1.0000,0
55,28,55,47,1.0000,0
55,28,55,49,1.0000,0
55,28,55,51,1.0000,0
55,28,55,53,1.0000,0
55,28,55,55,1.0000,0
55,28,55,57,1.0000,0
55,28,55,59,1.0000,0
55,28,55,61,1.0000,0
55,28,55,63,1.0000,0
55,28,55,65,1.0000,0
55,28,55,67,1.0000,0
55,28,55,69,1.0000,0
55,28,55,71,1.0000,0
55,28,55,73,1.0000,0
55,28,55,75,1.0000,0
55,28,55,77,1.0000,0
55,30,55,32,1.0000,0
55,30,55,34,1.0000,0
