global_idx,surah,verse,n_letters,rhyme_letter,topics,pct_emphatic,pct_resonant,pct_plosive,pct_fricative,pct_guttural,pct_labial
1416,10,52,52,ن,punishment|dialogue|eschatology,0.05769,0.44231,0.25,0.17308,0.07692,0.23077
1417,10,53,43,ن,prophets|dialogue,0.09302,0.46512,0.34884,0.13953,0.23256,0.25581
1418,10,54,84,ن,punishment|creation,0.11905,0.46429,0.20238,0.17857,0.10714,0.2619
1419,10,55,58,ن,creation,0.06897,0.48276,0.18966,0.13793,0.2069,0.17241
1420,10,56,22,ن,,0.04545,0.63636,0.18182,0.13636,0.22727,0.22727
1421,10,57,63,ن,mercy,0.09524,0.46032,0.20635,0.1746,0.15873,0.25397
1422,10,58,44,ن,mercy|dialogue,0.11364,0.47727,0.15909,0.27273,0.15909,0.34091
1423,10,59,73,ن,paradise|creation|legal|dialogue,0.09589,0.49315,0.21918,0.15068,0.19178,0.17808
1424,10,60,76,ن,eschatology,0.07895,0.51316,0.11842,0.18421,0.10526,0.17105
1425,10,61,141,ن,creation|prophets|legal,0.07801,0.48227,0.21277,0.15603,0.13475,0.26241
1426,10,62,36,ن,,0.0,0.52778,0.11111,0.19444,0.27778,0.19444
1427,10,63,21,ن,,0.04762,0.57143,0.19048,0.04762,0.04762,0.2381
1428,10,64,65,م,,0.04615,0.44615,0.13846,0.21538,0.13846,0.16923
1429,10,65,42,م,,0.02381,0.5,0.09524,0.19048,0.2381,0.16667
1430,10,66,90,ن,creation,0.06667,0.52222,0.17778,0.13333,0.16667,0.2
1431,10,67,61,ن,creation,0.06557,0.52459,0.16393,0.16393,0.11475,0.19672
1432,10,68,96,ن,creation|dialogue,0.05208,0.4375,0.15625,0.17708,0.15625,0.19792
1433,10,69,35,ن,dialogue,0.05714,0.51429,0.14286,0.17143,0.11429,0.14286
1434,10,70,59,ن,punishment|polytheism-rejection,0.05085,0.44068,0.18644,0.15254,0.10169,0.22034
1435,10,71,136,ن,prophets|dialogue|polytheism-rejection,0.09559,0.47794,0.25735,0.11765,0.15441,0.23529
1436,10,72,60,ن,,0.05,0.53333,0.28333,0.08333,0.18333,0.21667
1437,10,73,87,ن,creation|polytheism-rejection,0.06897,0.4023,0.1954,0.21839,0.14943,0.22989
1438,10,74,93,ن,prophets|polytheism-rejection,0.05376,0.39785,0.27957,0.11828,0.12903,0.30108
1439,10,75,69,ن,prophets,0.07246,0.46377,0.2029,0.13043,0.13043,0.33333
1440,10,76,38,ن,dialogue,0.07895,0.42105,0.18421,0.18421,0.18421,0.18421
1441,10,77,48,ن,prophets|dialogue,0.10417,0.4375,0.1875,0.20833,0.16667,0.1875
1442,10,78,77,ن,dialogue,0.05195,0.44156,0.28571,0.06494,0.14286,0.20779
1443,10,79,26,م,dialogue,0.11538,0.5,0.19231,0.11538,0.15385,0.23077
1444,10,80,39,ن,prophets|dialogue,0.10256,0.46154,0.20513,0.15385,0.15385,0.25641
1445,10,81,64,ن,prophets|dialogue,0.07812,0.4375,0.1875,0.20312,0.17188,0.1875
1446,10,82,33,ن,,0.12121,0.51515,0.21212,0.15152,0.15152,0.24242
1447,10,83,85,ن,prophets,0.08235,0.56471,0.10588,0.2,0.2,0.30588
1448,10,84,52,ن,prophets|dialogue,0.03846,0.53846,0.25,0.09615,0.11538,0.28846
1449,10,85,48,ن,dialogue,0.08333,0.47917,0.16667,0.10417,0.08333,0.16667
1450,10,86,26,ن,mercy|polytheism-rejection,0.11538,0.53846,0.23077,0.07692,0.03846,0.26923
1451,10,87,83,ن,prophets|prayer,0.08434,0.48193,0.26506,0.10843,0.15663,0.3253
1452,10,88,131,م,punishment|prophets|dialogue,0.0687,0.46565,0.18321,0.12977,0.14504,0.22901
1453,10,89,51,ن,dialogue,0.05882,0.39216,0.31373,0.07843,0.07843,0.19608
1454,10,90,118,ن,dialogue|monotheism|nature-imagery,0.0678,0.41525,0.27119,0.15254,0.22034,0.20339
1455,10,91,28,ن,,0.10714,0.46429,0.35714,0.10714,0.10714,0.21429
1456,10,92,61,ن,,0.01639,0.5082,0.22951,0.13115,0.11475,0.19672
1457,10,93,109,ن,eschatology,0.10092,0.44037,0.24771,0.15596,0.13761,0.26606
1458,10,94,85,ن,prophets,0.08235,0.45882,0.31765,0.10588,0.08235,0.18824
1459,10,95,44,ن,polytheism-rejection,0.02273,0.5,0.20455,0.13636,0.06818,0.20455
1460,10,96,30,ن,,0.06667,0.53333,0.26667,0.1,0.16667,0.16667
1461,10,97,33,م,punishment,0.0303,0.42424,0.24242,0.12121,0.21212,0.18182
1462,10,98,94,ن,punishment|prophets,0.03191,0.43617,0.14894,0.19149,0.19149,0.20213
1463,10,99,60,ن,creation|prophets,0.06667,0.48333,0.25,0.13333,0.16667,0.21667
1464,10,100,53,ن,,0.03774,0.49057,0.18868,0.11321,0.15094,0.13208
1465,10,101,60,ن,creation|dialogue,0.11667,0.51667,0.13333,0.11667,0.08333,0.21667
1466,10,102,64,ن,dialogue,0.125,0.5625,0.15625,0.15625,0.10938,0.21875
1467,10,103,45,ن,prophets,0.04444,0.57778,0.15556,0.11111,0.08889,0.13333
1468,10,104,100,ن,prophets|prayer|dialogue,0.02,0.5,0.26,0.1,0.14,0.2
1469,10,105,38,ن,polytheism-rejection,0.05263,0.57895,0.23684,0.10526,0.10526,0.21053
1470,10,106,55,ن,,0.05455,0.47273,0.18182,0.14545,0.12727,0.2
