surah,name,type,n_verses,n_chars,lz_count,lz_norm_simple,lz_norm_log,gzip_ratio,heap_beta,zipf_alpha,dispersion,is_muq
25,Al-Furqan,meccan,77,4845,1133,0.23384932920536636,2.862849188171862,0.3366822696654869,0.8896339486133344,0.718338,0.297298,0
26,Ash-Shu'ara,meccan,227,7015,1335,0.1903064861012117,2.4313989399368774,0.2819056633538413,0.7665333387091987,0.845656,0.274843,1
27,An-Naml,meccan,93,6060,1362,0.22475247524752476,2.824037793849298,0.32926829268292684,0.8385083783266873,0.78364,0.291427,1
28,Al-Qasas,meccan,88,7531,1608,0.21351746116053644,2.7498114690648006,0.3191316547293805,0.8608428266732041,0.812416,0.275812,1
29,Al-'Ankabut,meccan,69,5426,1178,0.2171028381865094,2.6933068900530848,0.31369150779896016,0.8520824114271737,0.79712,0.323027,1
30,Ar-Rum,meccan,60,4390,944,0.21503416856492027,2.601914563064931,0.31088082901554404,0.8406107537396695,0.787213,0.329015,1
31,Luqman,meccan,34,2792,688,0.24641833810888253,2.820771224796648,0.35547109421884376,0.8385085935869268,0.67063,0.318602,1
32,As-Sajdah,meccan,30,1970,541,0.27461928934010155,3.0054279866294227,0.377640101379893,0.9178472080306177,0.61185,0.374046,1
33,Al-Ahzab,medinan,73,7252,1482,0.20435741864313292,2.6207128898015504,0.30058684551482356,0.8302424460214664,0.783905,0.280111,0
34,Saba,meccan,54,4589,1050,0.22880801917629112,2.783212529087576,0.33098677023910666,0.882529433574892,0.766512,0.30547,0
35,Fatir,meccan,45,4147,977,0.23559199421268387,2.8313097970272785,0.3374043752516441,0.8600208569734136,0.690011,0.3082,0
36,Ya-Sin,meccan,83,3845,918,0.2387516254876463,2.84323768958532,0.3420787083753784,0.8541127434845628,0.712832,0.316995,1
37,As-Saffat,meccan,182,4795,1054,0.21981230448383732,2.687714309760248,0.31814006888633756,0.8500852791346044,0.703451,0.283553,0
38,Sad,meccan,88,3877,962,0.2481299974206861,2.957889468403569,0.35582294800171893,0.8847804391727476,0.650942,0.288167,1
39,Az-Zumar,meccan,75,6209,1336,0.21517152520534708,2.7111924640127523,0.3171146953405018,0.8388106018074709,0.799213,0.30905,0
40,Ghafir,meccan,85,6473,1364,0.2107214583655183,2.667779766346761,0.3106171144107802,0.8079412290500482,0.81635,0.304492,1
41,Fussilat,meccan,54,4246,1010,0.23787093735280262,2.866794051451821,0.340953625081646,0.8222422205625323,0.725603,0.326203,1
42,Ash-Shuraa,meccan,53,4525,1002,0.2214364640883978,2.6890584488423532,0.320359650203227,0.8098428294786368,0.768544,0.331204,1
43,Az-Zukhruf,meccan,89,4512,1080,0.2393617021276596,2.905743674776307,0.34150827713059473,0.8730315963250211,0.726198,0.312047,1
44,Ad-Dukhan,meccan,59,1855,494,0.26630727762803236,2.8913522991509617,0.3740663280549746,0.8898591889551971,0.597509,0.344478,1
45,Al-Jathiyah,meccan,37,2620,646,0.24656488549618322,2.7998308428589422,0.3463734404736731,0.8679099527305554,0.737728,0.381446,1
46,Al-Ahqaf,meccan,35,3373,838,0.24844352208716278,2.9117125150694307,0.3496952726074782,0.8832435808222937,0.714106,0.351621,1
47,Muhammad,medinan,38,3020,692,0.22913907284768212,2.6489239474420563,0.3277280204715774,0.8546532073009044,0.685035,0.31381,0
48,Al-Fath,medinan,29,3149,735,0.2334074309304541,2.7123526074847653,0.3328654149850851,0.8387888442461028,0.67133,0.315341,0
49,Al-Hujurat,medinan,18,1943,472,0.24292331446217189,2.653711336899785,0.3443651925820257,0.8567757878702327,0.698869,0.344768,0
50,Qaf,meccan,45,1911,541,0.28309785452642594,3.0857983391265327,0.3910891089108911,0.8931515127139469,0.565189,0.317043,1
51,Adh-Dhariyat,meccan,60,1927,528,0.27400103788271923,2.9899379201474523,0.3780137772675086,0.8921354256748207,0.585785,0.332151,0
52,At-Tur,meccan,49,1659,469,0.28270042194092826,3.0237914660508136,0.39131886477462435,0.8778724527618669,0.527304,0.312492,0
53,An-Najm,meccan,62,1816,505,0.27808370044052866,3.010686666344665,0.38239803741183687,0.8502713092042629,0.591179,0.328363,0
54,Al-Qamar,meccan,55,1826,467,0.255750273822563,2.7709189377560963,0.3614895549500454,0.8391925790541854,0.599061,0.318296,0
55,Ar-Rahman,medinan,78,2004,376,0.18762475049900199,2.0579933703799393,0.26683087027914615,0.7698728345006832,0.727058,0.252715,0
56,Al-Waqi'ah,meccan,96,2136,539,0.25234082397003743,2.7910651250840783,0.34549190855381456,0.9076057952042896,0.580572,0.269877,0
57,Al-Hadid,medinan,29,3205,756,0.2358814352574103,2.7471008215221886,0.33057137925082,0.9391448460037106,0.691199,0.341504,0
58,Al-Mujadila,medinan,22,2602,585,0.2248270561106841,2.5507540620022717,0.3258690552356579,0.8260503245544379,0.719053,0.335971,0
59,Al-Hashr,medinan,24,2478,597,0.24092009685230023,2.716364568953971,0.34405001116320605,0.8927466147640722,0.64359,0.336183,0
60,Al-Mumtahanah,medinan,13,1961,494,0.2519122896481387,2.7552588817822143,0.34715172024816693,0.8331720759942196,0.689605,0.340138,0
61,As-Saf,medinan,14,1215,329,0.2707818930041152,2.774631816382094,0.3734610123119015,0.906643085100058,0.581942,0.39008,0
62,Al-Jumu'ah,medinan,11,962,283,0.29417879417879417,2.9152803978242434,0.40023001725129387,0.9162749533511215,0.547118,0.39693,0
63,Al-Munafiqun,medinan,11,1009,292,0.2893954410307235,2.887793314230978,0.39364035087719296,0.8924982096619573,0.547045,0.397741,0
64,At-Taghabun,medinan,18,1376,379,0.2754360465116279,2.871769143918674,0.3764564081960627,0.8937067117059445,0.554652,0.411641,0
65,At-Talaq,medinan,12,1539,409,0.26575698505523065,2.8137758311749432,0.3720173535791757,0.8641422238842105,0.60731,0.363538,0
66,At-Tahrim,medinan,12,1386,399,0.2878787878787879,3.004507868191016,0.38323353293413176,0.9100741356420394,0.544804,0.358918,0
67,Al-Mulk,meccan,30,1709,467,0.2732592159157402,2.9345134174036027,0.3809833930315858,0.8880253652449058,0.61268,0.324423,0
68,Al-Qalam,meccan,52,1603,462,0.28820960698689957,3.0684405016165943,0.39358399448085546,0.8915358679048689,0.525477,0.298317,1
69,Al-Haqqah,meccan,52,1400,410,0.29285714285714287,3.0607118256080392,0.3866771777690185,0.9997607880883533,0.524014,0.300652,0
70,Al-Ma'arij,meccan,44,1197,355,0.29657477025898077,3.0325385464619408,0.40404970087436726,0.9109404803102914,0.46375,0.304511,0
71,Nuh,meccan,28,1197,340,0.28404344193817876,2.9044031149212954,0.3861431870669746,0.9432734087863185,0.570359,0.364388,0
72,Al-Jinn,meccan,28,1408,386,0.2741477272727273,2.867429406813918,0.37599049128367673,0.8580780304961088,0.669206,0.320526,0
73,Al-Muzzammil,meccan,20,1081,325,0.30064754856614245,3.0299713344253107,0.40841457157516675,0.9289632249655738,0.484099,0.344226,0
74,Al-Muddaththir,meccan,56,1308,383,0.29281345565749234,3.0315406989034903,0.4005102040816326,0.876903532474473,0.525115,0.329712,0
75,Al-Qiyamah,meccan,40,841,243,0.28894173602853745,2.807346924651605,0.3952569169960474,0.9216254880887996,0.500797,0.313627,0
76,Al-Insan,medinan,31,1343,394,0.2933730454206999,3.048510777538654,0.400902749281904,0.9356569095907771,0.498378,0.309445,0
77,Al-Mursalat,meccan,50,1023,274,0.2678396871945259,2.6780193330891695,0.3576407506702413,0.8731271887273144,0.563393,0.302243,0
78,An-Naba,meccan,40,975,289,0.2964102564102564,2.943134030867779,0.4064261555806088,0.958057975816777,0.433721,0.311754,0
79,An-Nazi'at,meccan,46,965,300,0.31088082901554404,3.0821922690638686,0.4169046259280411,0.9504808075937048,0.406171,0.322675,0
80,'Abasa,meccan,42,684,232,0.3391812865497076,3.194359332534398,0.4457928802588997,0.9438922323635779,0.329656,0.267293,0
81,At-Takwir,meccan,29,538,170,0.3159851301115242,2.866447214934249,0.4295991778006166,0.9774197554321594,0.352359,0.300363,0
82,Al-Infitar,meccan,19,415,134,0.3228915662650602,2.8081774663021553,0.45260347129506007,0.9603469846945679,0.497944,0.36202,0
83,Al-Mutaffifin,meccan,36,924,258,0.2792207792207792,2.7508130440317564,0.38938580799045913,0.8676556799045355,0.575316,0.31308,0
84,Al-Inshiqaq,meccan,25,554,182,0.3285198555956679,2.994045260326629,0.438,0.9432909882961245,0.405258,0.369771,0
85,Al-Buruj,meccan,22,581,188,0.32358003442340794,2.9712394809639444,0.4429657794676806,0.9649639383863273,0.375848,0.376862,0
86,At-Tariq,meccan,17,314,117,0.37261146496815284,3.0906707885997458,0.4964788732394366,0.9230942265680808,nan,0.343966,0
87,Al-A'la,meccan,19,369,135,0.36585365853658536,3.1198086607538036,0.5075075075075075,0.982327493242837,0.290574,0.375695,0
88,Al-Ghashiyah,meccan,26,473,163,0.34460887949260044,3.0620898707279522,0.464327485380117,0.8967558824266488,0.400622,0.31807,0
89,Al-Fajr,meccan,30,726,238,0.3278236914600551,3.1155792364228496,0.43597560975609756,0.9187569351551572,0.457758,0.296464,0
90,Al-Balad,meccan,20,423,143,0.3380614657210402,2.94942194088925,0.4588235294117647,1.0141974978706667,0.306584,0.317739,0
