k,amplitude,null_99th_percentile
517,558.6279501852204,5100.593299169384
518,1232.6923583415569,5215.906050635102
519,766.154825205649,5300.666716556029
520,5.869067020372303,5247.667000700488
521,2735.536619460595,5213.18357682086
522,675.0910503148014,5415.723600910014
523,33.34621481604608,5218.362888155914
524,1252.1246003210717,5546.59843188257
525,271.92280220877217,5224.561571131274
526,4362.774395789588,5144.105631205464
527,3465.858967842797,5264.358679966406
528,434.71004523227566,5206.963170395694
529,404.01356516139896,5120.993702389109
530,1678.0881577973064,5292.2611077572565
531,235.21844360419644,5222.180507024507
532,239.21768423932357,5267.816504722945
533,160.06264334028452,5253.851213427208
534,695.7588695102072,5361.781961931513
535,40.61502186149276,5190.394332844397
536,1144.9587144458876,5156.337304973929
537,1880.5614133829142,5289.387249318152
538,1044.2120404484729,5315.444162256944
539,343.51292332881377,5124.415625609876
540,932.0291868526542,5228.030379005491
541,1282.8748823143228,5194.751704584242
542,828.8043541156122,5338.61035440356
543,1545.7681847595932,5044.255694765233
544,4136.005481213057,5286.077450739793
545,5922.3436406925575,5255.052588947175
546,725.0208274458391,5378.798666651186
547,438.9682257610087,5097.69179659428
548,1140.0826029328462,5281.936210780569
549,2209.9848108550927,5032.157112308116
550,906.0504286109967,5447.958902593594
551,2329.607415121188,5158.357370359439
552,413.3236957607864,5458.781944325864
553,572.2224275671853,5368.678638651884
554,62.33950818796027,5138.513064510422
555,755.3177253200873,5222.964380795901
556,965.0684032860346,5335.319933000152
557,3310.6297119313194,5463.139258958198
558,643.6119889315947,5179.152400568113
559,1655.250880914939,5423.1597308160135
560,548.3822622350825,5086.523883184433
561,1086.068156141277,5265.459770152556
562,465.5561578447037,5339.071962374108
563,643.7830374902637,5135.126100682322
564,231.6064912656452,5294.705030108221
565,1293.7190271054963,5430.2893122902115
566,546.7006785093739,5459.284124088862
567,461.9169000948911,5265.59154538415
568,278.98706874647206,5184.706887674693
569,1450.8174499927206,5334.7170867392015
570,97.73225289428696,5077.153136403581
571,1191.2039508976013,5173.590253786169
572,493.6139792434241,5405.2312056406045
573,285.9875751389117,5237.997598587107
574,763.9028435779045,5148.47478854362
575,944.3673557162538,5288.220990101617
576,688.1438977619109,5233.983280860528
577,1996.478206082775,5272.7646387782825
578,772.9965919646095,5115.287073351432
579,1286.824051193602,5243.929990735284
580,1498.231693839215,5474.479236214198
581,1178.5062944800216,5392.249943773322
582,485.042814623908,5026.442453088212
583,2160.1913050345483,5060.401195768824
584,496.06530688887415,5208.361910337665
585,821.3901205153842,5161.2514596812325
586,745.3776111460686,5107.800000012962
587,312.7025439413476,5309.091254118393
588,4064.6035587070155,5350.638154763937
589,387.5355795972877,5001.416116677882
590,3869.7677114775306,5174.605829810859
591,2087.9095175119132,5222.134595931554
592,497.2837369877105,5199.198551931456
593,2538.9656734200007,5038.003994155416
594,292.6690917191029,5214.4316899726855
595,661.9715753143021,5450.141637189002
596,2603.013396996374,5279.7468374001855
597,915.3451787152634,5011.4166834488105
598,120.70477909324651,5063.495368154335
599,1581.568732830536,5073.5466855520835
600,3666.3657450173732,5088.29071435632
601,3056.7944940229354,5309.613018539547
602,398.71374774359356,5405.3029762038095
603,629.917737933325,5183.311330148663
604,1037.2757559597098,5129.42693759464
605,319.79022016782966,5386.452212701447
606,690.016246835266,5234.107693096121
607,492.9088076459794,5121.1899789101835
608,364.50323696308243,5334.7995894581345
609,2171.5878492180445,5034.594228229183
610,577.4963110266918,5356.1119802267585
611,2115.2298611379006,5001.279974075572
612,1514.9864598193078,5147.766958239628
613,77.18581603062957,5229.261499629183
614,176.65640630965845,5194.12103723849
615,821.5830870225077,5161.97622268288
616,1470.8789552378,5245.178603197752
617,1594.9949525755273,5120.856109132717
618,1779.7614725569706,5188.002689160054
619,1958.0876959377483,5088.239750823124
620,272.74238720197167,5188.996342988882
621,14.439642686246422,5195.869153329674
622,85.3271611180326,5430.006975478098
623,450.4174682446192,5168.08794354497
624,940.1178327409349,5322.958323565141
625,147.57354822845062,5102.124932700653
626,162.2543207395995,5025.681226328048
627,84.77348861352773,5007.363520041776
628,605.3402935020846,5051.424971763855
629,1110.8409574078294,5359.368418536631
630,5771.353797650663,5300.078413931163
631,1411.6986370081213,5284.755549412731
632,1039.8303160443506,4972.84134505502
633,1403.7060301566316,5194.770783365476
634,1449.1360420210483,5139.128218107032
635,3410.2562934520784,5236.978511507931
636,1366.477571602083,5158.928042821181
637,1608.5459293287354,5164.958440606525
638,3954.2280025672976,5116.048274187852
639,2096.053816299813,5247.90129719309
640,2402.40257792559,5373.583428883836
641,1166.7546187661158,5047.509713841022
642,1173.4156673797713,4965.930444919195
643,227.62388076814375,5125.226263466041
644,726.7389573697968,5086.8996263569325
