mushaf_order,name_tl,period,revelation_order,noldeke_order,noldeke_phase,n_lemma_tokens,n_distinct_lemmas,zipf_alpha,r_squared,boot_alpha_lo,boot_alpha_hi,boot_alpha_median,status
89,Al-Fajr,Meccan,10,35,Early Meccan,136,93,0.457758,0.860319,0.526835,0.687457,0.605667,ok
90,Al-Balad,Meccan,35,11,Early Meccan,79,62,0.306584,0.743842,0.432483,0.624868,0.532504,ok
91,Ash-Shams,Meccan,26,16,Early Meccan,53,44,,,,,,insufficient-data
92,Al-Layl,Meccan,9,10,Early Meccan,70,56,0.324661,0.767801,0.448654,0.652902,0.546176,ok
93,Ad-Dhuha,Meccan,11,13,Early Meccan,39,30,,,,,,insufficient-data
94,Ash-Sharh,Meccan,12,12,Early Meccan,25,21,,,,,,insufficient-data
95,At-Tin,Meccan,28,20,Early Meccan,33,33,,,,,,insufficient-data
96,Al-Alaq,Meccan,1,1,Early Meccan,72,49,,,,,,insufficient-data
97,Al-Qadr,Meccan,25,14,Early Meccan,29,22,,,,,,insufficient-data
98,Al-Bayyinah,Medinan,100,92,Medinan,91,58,0.480235,0.870583,0.50804,0.718366,0.614008,ok
99,Az-Zalzalah,Medinan,93,25,Early Meccan,34,27,,,,,,insufficient-data
100,Al-Adiyat,Meccan,14,30,Early Meccan,37,31,,,,,,insufficient-data
101,Al-Qariah,Meccan,30,24,Early Meccan,34,23,,,,,,insufficient-data
102,At-Takathur,Meccan,16,8,Early Meccan,28,19,,,,,,insufficient-data
103,Al-Asr,Meccan,13,21,Early Meccan,14,13,,,,,,insufficient-data
104,Al-Humazah,Meccan,32,6,Early Meccan,33,27,,,,,,insufficient-data
105,Al-Fil,Meccan,19,9,Early Meccan,23,21,,,,,,insufficient-data
106,Quraysh,Meccan,29,4,Early Meccan,17,15,,,,,,insufficient-data
107,Al-Maun,Meccan,17,7,Early Meccan,23,20,,,,,,insufficient-data
108,Al-Kawthar,Meccan,15,5,Early Meccan,9,8,,,,,,insufficient-data
109,Al-Kafirun,Meccan,18,45,Early Meccan,21,8,,,,,,insufficient-data
110,An-Nasr,Medinan,114,111,Medinan,19,18,,,,,,insufficient-data
111,Al-Masad,Meccan,6,3,Early Meccan,23,20,,,,,,insufficient-data
112,Al-Ikhlas,Meccan,22,44,Early Meccan,13,8,,,,,,insufficient-data
113,Al-Falaq,Meccan,20,46,Early Meccan,23,16,,,,,,insufficient-data
114,An-Nas,Meccan,21,47,Early Meccan,20,15,,,,,,insufficient-data
