surah,verse,word,form_bw,form_ar,pos,root,lemma,marker,stem_dual,pron_suffix_dual,is_verb,is_impf,mood
58,13,5,yadaYo,يَدَىْ,N,ydy,yad,FD,1,0,0,0,
59,17,2,Ea`qibatahumaA^,عَٰقِبَتَهُمَآ,N,Eqb,Ea`qibap,,0,1,0,0,
59,17,3,>an~ahumaA,أَنَّهُمَا,ACC,,>an~,,0,1,0,0,
59,17,6,xa`lidayoni,خَٰلِدَيْنِ,N,xld,xa`lid,MD,1,0,0,0,
61,6,15,yadaY~a,يَدَىَّ,N,ydy,yad,FD,1,0,0,0,
65,2,10,*awaYo,ذَوَىْ,N,,*uw,MD,1,0,0,0,
66,4,2,tatuwbaA^,تَتُوبَآ,V,twb,taAba,2D,1,1,1,1,JUS
66,4,7,quluwbukumaA,قُلُوبُكُمَا,N,qlb,qalob,,0,1,0,0,
66,4,9,taZa`haraA,تَظَٰهَرَا,V,Zhr,taZa`haru,2FD,1,1,1,1,JUS
66,10,10,kaAnataA,كَانَتَا,V,kwn,kaAna,3FD,1,1,1,0,
66,10,12,Eabodayoni,عَبْدَيْنِ,N,Ebd,Eabod,MD,1,0,0,0,
66,10,15,Sa`liHayoni,صَٰلِحَيْنِ,ADJ,SlH,Sa`liH,MD,1,0,0,0,
66,10,16,faxaAnataAhumaA,فَخَانَتَاهُمَا,V,xwn,xaAnu,3FD,1,1,1,0,
66,10,18,yugoniyaA,يُغْنِيَا,V,gny,>agonato,3MD,1,1,1,1,JUS
66,10,19,EanohumaA,عَنْهُمَا,P,,Ean,,0,1,0,0,
66,10,24,{doxulaA,ٱدْخُلَا,V,dxl,daxala,2MD,1,1,1,0,
67,4,4,kar~atayoni,كَرَّتَيْنِ,N,krr,kar~ap,FD,1,0,0,0,
69,14,4,faduk~ataA,فَدُكَّتَا,V,dkk,duk~ati,3FD,1,1,1,0,
71,28,4,waliwa`lidaY~a,وَلِوَٰلِدَىَّ,N,wld,wa`liday,MD,1,0,0,0,
72,27,10,yadayohi,يَدَيْهِ,N,ydy,yad,FD,1,0,0,0,
73,20,8,vuluvaYi,ثُلُثَىِ,N,vlv,v~uluv,MD,1,0,0,0,
75,39,3,{lz~awojayoni,ٱلزَّوْجَيْنِ,N,zwj,zawoj,MD,1,0,0,0,
78,37,5,bayonahumaA,بَيْنَهُمَا,LOC,byn,bayon,,0,1,0,0,
78,40,10,yadaAhu,يَدَاهُ,N,ydy,yad,FD,1,0,0,0,
90,8,4,Eayonayoni,عَيْنَيْنِ,N,Eyn,Eayon,FD,1,0,0,0,
90,9,2,wa$afatayoni,وَشَفَتَيْنِ,N,$fh,$afatayon,FD,1,0,0,0,
90,10,2,{ln~ajodayoni,ٱلنَّجْدَيْنِ,N,njd,n~ajodayon,MD,1,0,0,0,
111,1,2,yadaA^,يَدَآ,N,ydy,yad,FD,1,0,0,0,
