sura,aya,surah_name,n_words,eligible,ineligible_reason,n_hadith,n_hadith_ambiguous,n_books,n_hadith_all17,n_hadith_surah_level,max_span_words,driver_span,b_bukhari,b_muslim,b_abudawud,b_tirmidhi,b_nasai,b_ibnmajah,b_malik,b_ahmed,b_darimi
2,95,البقره,9,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,96,البقره,25,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,97,البقره,18,1,,1,0,1,1,1,5,من كان عدوا لجبريل فانه,1,0,0,0,0,0,0,0,0
2,98,البقره,12,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,99,البقره,10,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,100,البقره,10,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,101,البقره,22,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,102,البقره,74,1,,1,1,1,1,1,5,ولقد علموا لمن اشتراه ما,0,0,0,0,0,0,1,0,0
2,103,البقره,12,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,104,البقره,13,1,,0,50,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,105,البقره,25,1,,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,106,البقره,19,1,,4,3,2,4,4,5,ما ننسخ من ايه او,2,0,0,0,2,0,0,0,0
2,107,البقره,17,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,108,البقره,18,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,109,البقره,33,1,,2,6,1,2,2,5,ود كثير من اهل الكتاب,2,0,0,0,0,0,0,0,0
2,110,البقره,17,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,111,البقره,18,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,112,البقره,17,1,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,113,البقره,31,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,114,البقره,30,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,115,البقره,12,1,,6,0,4,7,6,5,فاينما تولوا فثم وجه الله,0,2,0,2,1,1,0,0,0
2,116,البقره,14,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,117,البقره,11,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,118,البقره,24,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,119,البقره,10,1,,1,1,1,1,1,5,ارسلناك بالحق بشيرا ونذيرا ولا,0,0,1,0,0,0,0,0,0
2,120,البقره,31,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,121,البقره,15,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,122,البقره,12,0,no_verse_distinctive_span,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,123,البقره,18,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,124,البقره,19,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,125,البقره,22,1,,24,0,8,25,24,5,واتخذوا من مقام ابراهيم مصلي,1,1,3,5,5,4,0,3,2
2,126,البقره,30,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,127,البقره,14,1,,2,0,1,3,2,5,ربنا تقبل منا انك انت,2,0,0,0,0,0,0,0,0
2,128,البقره,17,1,,1,0,1,2,1,5,وتب علينا انك انت التواب,0,0,1,0,0,0,0,0,0
2,129,البقره,16,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,130,البقره,18,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,131,البقره,9,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,132,البقره,17,1,,2,0,1,2,2,5,ابراهيم بنيه ويعقوب يا بني,0,0,0,0,0,0,0,0,2
2,133,البقره,27,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,134,البقره,15,0,no_verse_distinctive_span,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,135,البقره,15,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,136,البقره,31,1,,4,5,3,7,4,5,قولوا امنا بالله وما انزل,1,2,0,0,1,0,0,0,0
2,137,البقره,19,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,138,البقره,10,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,139,البقره,14,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,140,البقره,30,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,141,البقره,15,0,no_verse_distinctive_span,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,142,البقره,21,1,,1,2,1,1,1,5,ما ولاهم عن قبلتهم التي,1,0,0,0,0,0,0,0,0
2,143,البقره,45,1,,11,1,5,11,11,5,وما كان الله ليضيع ايمانكم,5,0,1,2,0,2,0,0,1
2,144,البقره,34,1,,7,6,5,7,9,5,قد نري تقلب وجهك في,2,1,1,2,0,1,0,0,0
2,145,البقره,32,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,146,البقره,14,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,147,البقره,7,0,no_verse_distinctive_span,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,148,البقره,19,1,,0,3,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,149,البقره,17,1,,0,6,0,0,6,0,,0,0,0,0,0,0,0,0,0
2,150,البقره,31,1,,0,6,0,0,6,0,,0,0,0,0,0,0,0,0,0
2,151,البقره,17,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,152,البقره,6,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,153,البقره,11,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,154,البقره,13,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,155,البقره,12,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,156,البقره,10,1,,7,0,6,8,7,5,انا لله وانا اليه راجعون,0,2,1,1,1,1,1,0,0
