sid,name_tl,type,genre,n_root_tokens,n_distinct_roots,mean_freq,geom_mean_freq,median_freq,rare_density_5,hapax_density,common_only_density,null_z,log_n,length_quintile,gm_resid_rank_in_quintile,rare5_resid_rank_in_quintile,hapax_resid_rank_in_quintile
98,Al-Bayyinah,medinan,eschatological,60,42,411.1166666666667,175.22258966014704,195.0,0.016666666666666666,0.0,0.6666666666666666,0.6302597505422911,4.0943445622221,1,20,2,3
99,Az-Zalzalah,medinan,eschatological,27,18,252.74074074074073,98.03373734020772,97,0.037037037037037035,0.0,0.48148148148148145,-1.1506084328557298,3.295836866004329,0,15,5,11
100,Al-'Adiyat,meccan,eschatological,24,23,168.875,28.30843741562468,49.0,0.3333333333333333,0.20833333333333334,0.375,-2.3175339387824083,3.1780538303479458,0,4,19,21
101,Al-Qari'ah,meccan,eschatological,24,19,170.33333333333334,29.0993650137655,25.5,0.20833333333333334,0.0,0.25,-2.396327013384727,3.1780538303479458,0,5,16,10
102,At-Takathur,meccan,eschatological,16,11,292.8125,103.58242779341927,134.5,0.0,0.0,0.5625,-0.9086854458104304,2.772588722239781,0,16,2,4
103,Al-'Asr,meccan,eschatological,10,9,204.0,94.08574008004904,100.0,0.1,0.0,0.5,-0.88874626961687,2.302585092994046,0,13,9,1
104,Al-Humazah,meccan,eschatological,21,19,196.38095238095238,31.832361595596442,29,0.14285714285714285,0.0,0.23809523809523808,-2.1003591611349646,3.044522437723423,0,9,10,8
105,Al-Fil,meccan,eschatological,18,17,178.33333333333334,51.157123250689814,90.0,0.16666666666666666,0.05555555555555555,0.4444444444444444,-1.7484929649495276,2.8903717578961645,0,10,13,14
106,Quraysh,meccan,eschatological,12,11,202.83333333333334,31.613122827694887,35.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,-1.6804421370125684,2.4849066497880004,0,8,18,19
107,Al-Ma'un,meccan,eschatological,14,12,100.21428571428571,30.827458725369386,58.5,0.2857142857142857,0.07142857142857142,0.2857142857142857,-1.7342275314751148,2.6390573296152584,0,7,17,15
108,Al-Kawthar,meccan,eschatological,7,7,180.71428571428572,18.27395003494333,14,0.42857142857142855,0.2857142857142857,0.2857142857142857,-1.3608540446981785,1.9459101490553132,0,2,22,22
109,Al-Kafirun,meccan,eschatological,12,4,387.4166666666667,286.1704121969816,275.0,0.0,0.0,1.0,1.3528328596754686,2.4849066497880004,0,22,1,2
110,An-Nasr,medinan,eschatological,16,15,613.9375,206.54209026922882,196.0,0.0625,0.0,0.6875,0.6916701028079881,2.772588722239781,0,20,8,5
111,Al-Masad,meccan,eschatological,17,15,47.588235294117645,15.315975061180845,25,0.4117647058823529,0.11764705882352941,0.17647058823529413,-2.0889933461013235,2.833213344056216,0,1,21,17
112,Al-Ikhlas,meccan,hymn,10,7,919.0,130.7699801138445,102.0,0.2,0.2,0.6,-0.428378549280126,2.302585092994046,0,19,15,20
113,Al-Falaq,meccan,hymn,15,11,208.73333333333332,19.310650211510794,17,0.4,0.13333333333333333,0.2,-1.9917155566549496,2.70805020110221,0,3,20,18
114,An-Nas,meccan,hymn,16,11,454.4375,104.30592081111757,223.5,0.1875,0.0,0.625,-0.8616235200735921,2.772588722239781,0,17,14,6
