surah,translit,gloss,class,muqattaat,type,target,n_in,n_rest,hits_in,hits_rest,rate_in,rate_rest,ratio,p_two,p_upper,p_poisson_upper,sig_bon
26,Ash-Shuara,the Poets,SOCIAL_LEGAL,1,ROOT,$Er,1318,76111,3,37,0.002276,0.000486,4.682,3.049e-02,3.049e-02,3.186e-02,0
27,An-Naml,the Ant,ANIMAL_OBJECT,1,ROOT,nml,1151,76278,3,1,0.002606,0.000013,198.813,1.296e-05,1.296e-05,3.351e-05,1
28,Al-Qasas,the Stories,REVELATION_RITUAL,1,ROOT,qSS,1430,75999,3,27,0.002098,0.000355,5.905,1.761e-02,1.761e-02,1.882e-02,0
29,Al-Ankabut,the Spider,ANIMAL_OBJECT,1,ROOT,Enkb,976,76453,2,0,0.002049,0.000000,inf,1.587e-04,1.587e-04,3.125e-04,1
30,Ar-Rum,the Romans,SOCIAL_LEGAL,1,LEM,r~uwm,817,76612,1,0,0.001224,0.000000,inf,1.055e-02,1.055e-02,1.050e-02,0
31,Luqman,Luqman,PROPHET_PERSON,1,LEM,luqoma`n,546,76883,2,0,0.003663,0.000000,inf,4.963e-05,4.963e-05,9.852e-05,1
32,As-Sajdah,the Prostration,REVELATION_RITUAL,1,ROOT,sjd,372,77057,1,91,0.002688,0.001181,2.276,3.581e-01,3.581e-01,3.573e-01,0
33,Al-Ahzab,the Confederates,SOCIAL_LEGAL,0,ROOT,Hzb,1287,76142,3,17,0.002331,0.000223,10.440,4.228e-03,4.228e-03,4.782e-03,0
34,Saba,Sheba,PROPHET_PERSON,0,LEM,saba<,883,76546,1,1,0.001133,0.000013,86.689,2.268e-02,2.268e-02,2.255e-02,0
35,Fatir,the Originator,DIVINE_ATTRIBUTE,0,ROOT,fTr,775,76654,1,19,0.001290,0.000248,5.206,1.823e-01,1.823e-01,1.814e-01,0
36,Ya-Sin,Ya-Sin,MUQATTAAT_LETTER,1,NONE,,725,76704,,,,,,,,,0
37,As-Saffat,the Ranks,SOCIAL_LEGAL,0,ROOT,Sff,860,76569,3,11,0.003488,0.000144,24.282,4.536e-04,4.536e-04,5.579e-04,0
38,Sad,Sad,MUQATTAAT_LETTER,1,NONE,,733,76696,,,,,,,,,0
39,Az-Zumar,the Groups,SOCIAL_LEGAL,0,ROOT,zmr,1172,76257,2,0,0.001706,0.000000,inf,2.289e-04,2.289e-04,4.491e-04,1
40,Ghafir,the Forgiver,DIVINE_ATTRIBUTE,1,ROOT,gfr,1219,76210,5,229,0.004102,0.003005,1.365,4.244e-01,3.091e-01,3.097e-01,0
41,Fussilat,Explained in Detail,REVELATION_RITUAL,1,ROOT,fSl,794,76635,2,41,0.002519,0.000535,4.708,7.199e-02,7.199e-02,7.286e-02,0
42,Ash-Shura,the Consultation,SOCIAL_LEGAL,1,ROOT,$wr,860,76569,1,3,0.001163,0.000039,29.678,4.369e-02,4.369e-02,4.346e-02,0
