pair_a,pair_b,joint_max_abs_ACF,joint_lag1,joint_lag2,joint_lag3,root_jaccard,root_overlap_min,root_n_shared
70,71,0.44533400712291854,0.1595357268906215,0.2689848236917252,0.44533400712291854,0.12941176470588237,0.25287356321839083,22
71,72,0.27843762733436805,-0.031410555761579695,-0.024706186676189557,0.27843762733436805,0.16149068322981366,0.2988505747126437,26
72,73,0.029828559360211504,0.01145101167288585,-0.029828559360211504,0.003446197810115914,0.1437125748502994,0.26373626373626374,24
73,74,0.03338840798087508,-0.00840428770899799,-0.03338840798087508,-0.01027371542593255,0.19047619047619047,0.3516483516483517,32
74,75,0.042217406535348535,-0.03738501899293608,-0.042217406535348535,-0.02124092165429681,0.1375,0.3013698630136986,22
75,76,0.6424902881985156,0.611172219647364,0.6424902881985156,0.5059585961307477,0.13496932515337423,0.3013698630136986,22
76,77,0.6181982308726719,0.5567834124701073,0.6181982308726719,0.4613416454220849,0.11046511627906977,0.24050632911392406,19
77,78,0.4194631331208029,0.37594121503123995,0.4194631331208029,0.25867780986752187,0.11180124223602485,0.22784810126582278,18
78,79,0.3444619764565255,0.3444619764565255,0.31726816652658413,0.10545739498692222,0.14201183431952663,0.25806451612903225,24
79,80,0.1514714702936635,0.1514714702936635,0.1383031259358327,0.04699570345799257,0.10135135135135136,0.21428571428571427,15
80,81,0.11358724704631278,0.11358724704631278,0.09268596151702176,0.049813902697696213,0.05785123966942149,0.1206896551724138,7
81,82,0.20153550863723607,0.20153550863723607,0.1343570057581574,-0.05758157389635317,0.11764705882352941,0.2702702702702703,10
82,83,0.21604267905066638,0.12590147059996967,0.21604267905066638,0.14188709707449285,0.16666666666666666,0.40540540540540543,15
83,84,0.12480580863192091,0.11068376616138648,0.12480580863192091,0.0576176639470005,0.10091743119266056,0.21153846153846154,11
84,85,0.5335538293984982,0.5335538293984982,0.24165164298245778,0.09183769450333898,0.14130434782608695,0.25,13
85,86,0.6425732526767846,0.6425732526767846,0.3323721949538823,0.19170145027403274,0.08860759493670886,0.21212121212121213,7
86,87,0.1954872471920862,-0.1954872471920862,-0.057067141189751834,0.004635210378279087,0.05714285714285714,0.12121212121212122,4
87,88,0.13836053273307072,-0.038272994435065336,-0.026180203839179628,-0.13836053273307072,0.0963855421686747,0.1951219512195122,8
88,89,0.388325164650023,0.388325164650023,0.16231429009036605,0.13143283810690765,0.10679611650485436,0.22,11
89,90,0.21845695668685414,0.21845695668685414,0.1549487317862925,0.058281065739241675,0.12371134020618557,0.26666666666666666,12
90,91,0.10009487666034156,0.0706831119544592,0.10009487666034156,-0.04174573055028463,0.02531645569620253,0.05555555555555555,2
91,92,0.1920849420849421,0.1920849420849421,-0.1520554167612991,-0.09578696343402225,0.1323529411764706,0.25,9
92,93,0.3758241163504684,0.1788529284421003,-0.17138176021412266,-0.3758241163504684,0.18518518518518517,0.43478260869565216,10
93,94,0.4511638061330736,0.4511638061330736,0.013686897524602844,-0.3379572095522789,0.027777777777777776,0.07142857142857142,1
94,95,0.4380296610169492,0.2020656779661017,0.4380296610169492,0.050052966101694914,0.0,0.0,0
95,96,0.20080203442879496,0.12402190923317684,0.20080203442879496,-0.05985915492957749,0.08,0.18181818181818182,4
96,97,0.24545376449098438,0.24545376449098438,0.01784583943718016,0.056853941728609435,0.043478260869565216,0.125,2
97,98,0.2801373859227074,0.2801373859227074,0.12452835235527081,0.1710795778450572,0.05454545454545454,0.1875,3
98,99,0.35650369815972527,0.35650369815972527,0.10923879545654662,0.10015298934577793,0.07142857142857142,0.2222222222222222,4
99,100,0.16190028643036158,0.16190028643036158,0.11854972252058718,-0.13706699785177232,0.1388888888888889,0.2777777777777778,5
100,101,0.32413270183054355,0.32413270183054355,0.058337346107130275,-0.3167156584422771,0.0,0.0,0
101,102,0.38858710653285194,0.38858710653285194,-0.009379174809269877,-0.1704039835270997,0.0,0.0,0
104,105,0.08513931888544891,-0.0696594427244582,-0.06501547987616099,0.08513931888544891,0.0,0.0,0
113,114,0.5091365920511649,0.20447693010507081,-0.5091365920511649,-0.4282777523983554,0.2222222222222222,0.36363636363636365,4
