surah,name,type,n_verses,n_chars,gzip_ratio,zlib_ratio,lz_complexity,lz_normalized,entropy_bpc,gzip_null_mean,gzip_null_std,gzip_z,gzip_emp_p_twotail
41,Fussilat,meccan,54,4246,0.340953625081646,0.33938602220770736,1010,2.866794051451821,4.3034499904633075,0.3624604119244891,0.007588775164032852,-2.8340260948532126,0.008
42,Ash-Shuraa,meccan,53,4525,0.320359650203227,0.3188816356694174,1002,2.6890584488423532,4.269894949150849,0.3634639352244039,0.007509150786429058,-5.7402343150542805,0.0
43,Az-Zukhruf,meccan,89,4512,0.34150827713059473,0.3400367872470877,1080,2.905743674776307,4.291137048899677,0.3436328001603897,0.005454852159327573,-0.3894739889810106,0.724
44,Ad-Dukhan,meccan,59,1855,0.3740663280549746,0.3704810277860771,494,2.8913522991509617,4.2382286966551215,0.3590207360701632,0.007025342215520501,2.1416169523489406,0.042
45,Al-Jathiyah,meccan,37,2620,0.3463734404736731,0.3438359061112286,646,2.7998308428589422,4.233597625820299,0.3796510017685478,0.009305650291356975,-3.57605973284669,0.0
46,Al-Ahqaf,meccan,35,3373,0.3496952726074782,0.3477186624938231,838,2.9117125150694307,4.249453240656011,0.38135686092952226,0.009326524751351092,-3.3947895026448522,0.0
47,Muhammad,medinan,38,3020,0.3277280204715774,0.3255346371778468,692,2.6489239474420563,4.278445859965054,0.3778004509897245,0.009278568918096825,-5.396568259625289,0.0
48,Al-Fath,medinan,29,3149,0.3328654149850851,0.33075978241796805,735,2.7123526074847653,4.306056904874048,0.3896965371905663,0.011106153220590257,-5.117084293427459,0.0
49,Al-Hujurat,medinan,18,1943,0.3443651925820257,0.340941512125535,472,2.653711336899785,4.236656789036601,0.4163127883197357,0.015184168079378158,-4.738329776224166,0.0
50,Qaf,meccan,45,1911,0.3910891089108911,0.3875946418171229,541,3.0857983391265327,4.272936744010092,0.37043387518926285,0.008380086206950311,2.46479967049708,0.016
51,Adh-Dhariyat,meccan,60,1927,0.3780137772675086,0.37456946039035593,528,2.9899379201474523,4.246173021733442,0.3585871432413201,0.006941164862397289,2.798757040252616,0.008
52,At-Tur,meccan,49,1659,0.39131886477462435,0.38731218697829717,469,3.0237914660508136,4.234531671070703,0.366833365291453,0.007929965774310434,3.087718179376448,0.0
53,An-Najm,meccan,62,1816,0.38239803741183687,0.3787181846059491,505,3.010686666344665,4.342414266590111,0.3569923382266865,0.006983351346742894,3.6380382317438205,0.002
54,Al-Qamar,meccan,55,1826,0.3614895549500454,0.3578564940962761,467,2.7709189377560963,4.362883162267328,0.3617658480333446,0.007610430052068408,-0.0363045296269547,0.964
55,Ar-Rahman,medinan,78,2004,0.26683087027914615,0.26354679802955666,376,2.0579933703799393,4.240532196317816,0.3478930347779495,0.0060272576880760565,-13.449261454205212,0.0
56,Al-Waqi'ah,meccan,96,2136,0.34549190855381456,0.34240945286411506,539,2.7910651250840783,4.258919850907053,0.34083933392105414,0.005457215578542627,0.8525546711135994,0.39
57,Al-Hadid,medinan,29,3205,0.33057137925082,0.32849991368893494,756,2.7471008215221886,4.261368485368776,0.3903832503632177,0.01032976208039561,-5.790246730455872,0.0
58,Al-Mujadila,medinan,22,2602,0.3258690552356579,0.3233098741735978,585,2.5507540620022717,4.233337832887861,0.4040909823711214,0.013239537019054443,-5.908207139183636,0.0
59,Al-Hashr,medinan,24,2478,0.34405001116320605,0.3413708417057379,597,2.716364568953971,4.236013579422224,0.3995318800554404,0.012203440461442292,-4.546412060396702,0.0
60,Al-Mumtahanah,medinan,13,1961,0.34715172024816693,0.3437676254935138,494,2.7552588817822143,4.249767089841886,0.43757826710402997,0.01914856544840782,-4.722366649318991,0.0
61,As-Saf,medinan,14,1215,0.3734610123119015,0.3679890560875513,329,2.774631816382094,4.224206834336497,0.43213164347068644,0.018982843319241997,-3.0907188228916875,0.0
62,Al-Jumu'ah,medinan,11,962,0.40023001725129387,0.39332949971247844,283,2.9152803978242434,4.158705514333007,0.4488027943865347,0.023779608780686218,-2.0426230550391393,0.026
63,Al-Munafiqun,medinan,11,1009,0.39364035087719296,0.38706140350877194,292,2.887793314230978,4.2487810034637885,0.44965536266641265,0.022288880668713238,-2.513137048997154,0.014
64,At-Taghabun,medinan,18,1376,0.3764564081960627,0.37163519485737245,379,2.871769143918674,4.255169242143119,0.4154697326075624,0.015018835517218948,-2.597626451582837,0.008
65,At-Talaq,medinan,12,1539,0.3720173535791757,0.3676789587852495,409,2.8137758311749432,4.291589844433926,0.4423179734974266,0.02062367571912664,-3.408733771596944,0.0
66,At-Tahrim,medinan,12,1386,0.38323353293413176,0.3784431137724551,399,3.004507868191016,4.2470284863621535,0.44218947327391056,0.020550403797951904,-2.8688458348275603,0.004
67,Al-Mulk,meccan,30,1709,0.3809833930315858,0.37707587105177465,467,2.9345134174036027,4.280360198262009,0.388661604456285,0.010409669626336186,-0.7376037569216933,0.452
68,Al-Qalam,meccan,52,1603,0.39358399448085546,0.3894446360814074,462,3.0684405016165943,4.280477203249414,0.3645352312467952,0.0075495926833459345,3.8477258909795924,0.002
