surah,verse,mushaf_index,n_words,n_segments,n_letters_rasm,n_root_tokens,n_lemma_tokens,n_pos_segments,n_hapax_root_tokens,frac_hapax_root_tokens,n_hapax_lemma_tokens,frac_hapax_lemma_tokens,mean_log10_root_freq,median_log10_root_freq,min_root_freq,mean_root_surprisal_bits,sum_root_surprisal_bits,frac_root_tokens_freq_le5,n_root_types,ttr_root,root_simpson_repeat,rime_pausal,rime_class_size,fasila_readable,share_nominal,share_verbal,share_pronominal,share_particle,segments_per_word,frac_derived_stems
26,64,2996,3,6,16,2,3,3,0,0.0,0,0.0,1.6989700043360187,1.6989700043360187,10,9.96486066424585,19.9297213284917,0.0,2,1.0,0.0,Iن,1293,1,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,2.0,0.5
26,65,2997,5,9,23,2,5,5,0,0.0,0,0.0,2.017434498180565,2.017434498180565,84,8.906944514919566,17.81388902983913,0.0,2,1.0,0.0,Iن,1293,1,0.4,0.2,0.2,0.2,1.8,0.5
26,66,2998,3,5,15,2,3,3,0,0.0,0,0.0,1.8798339223448153,1.8798339223448153,23,9.364043733661024,18.728087467322048,0.0,2,1.0,0.0,Iن,1293,1,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.6666666666666667,0.5
26,67,2999,8,11,29,4,8,8,0,0.0,0,0.0,2.7229458773467896,2.76302611899274,167,6.563286443204555,26.25314577281822,0.0,4,1.0,0.0,Iن,1293,1,0.375,0.125,0.125,0.375,1.375,0.25
26,68,3000,5,10,21,3,4,5,0,0.0,0,0.0,2.5323242450960355,2.530199698203082,119,7.1965177988716205,21.58955339661486,0.0,3,1.0,0.0,Iم,551,1,0.6,0.0,0.2,0.2,2.0,0.0
26,69,3001,4,6,18,2,4,4,0,0.0,0,0.0,2.001730266054753,2.001730266054753,63,8.959112844826933,17.918225689653866,0.0,2,1.0,0.0,Iم,551,1,0.5,0.25,0.0,0.25,1.5,0.0
26,70,3002,6,11,23,4,6,6,0,0.0,0,0.0,2.640773909558982,2.629438314686066,117,6.836255811611052,27.345023246444207,0.0,4,1.0,0.0,Uن,1751,1,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.8333333333333333,0.0
26,71,3003,6,9,27,5,5,6,0,0.0,0,0.0,1.7694184589202258,1.5185139398778875,5,9.730835963721173,48.65417981860587,0.2,5,1.0,0.0,Iن,1293,1,0.3333333333333333,0.5,0.16666666666666666,0.0,1.5,0.0
26,72,3004,5,8,20,3,5,5,0,0.0,0,0.0,2.6098469121498002,2.326335860928751,185,6.938993073195121,20.816979219585363,0.0,3,1.0,0.0,Uن,1751,1,0.0,0.6,0.0,0.4,1.6,0.0
26,73,3005,4,7,17,2,4,4,0,0.0,0,0.0,1.7841008620334975,1.7841008620334975,50,9.682062076318736,19.364124152637473,0.0,2,1.0,0.0,Uن,1751,1,0.0,0.5,0.0,0.5,1.75,0.0
