surah	verse	A	D	DISPUTE	A_resid	D_resid	DISPUTE_resid	len_char	len_word	n_hapax	rarity	ar-tafsir-al-tabari	ar-tafseer-al-qurtubi	ar-tafsir-ibn-kathir	ar-tafsir-al-baghawi	ar-tafseer-tanwir-al-miqbas	ar-tafseer-al-saddi	ar-tafsir-al-wasit	ar-tafsir-muyassar
2	44	0.884371	0.111390	0.734502	1.360797	-0.246143	1.207992	68	12	0	8.797778	0.839962	0.967768	0.970574	0.885423	0.927758	0.921985	0.775898	0.785600
2	45	0.800784	0.180103	0.860888	1.064506	-0.029200	1.808153	56	9	0	9.969983	0.944917	0.948765	0.931286	0.853031	0.933130	0.760343	0.742864	0.291934
2	46	0.657753	0.311097	0.634347	0.850314	0.594149	1.031242	45	8	0	8.124860	0.904346	0.640795	0.829939	0.560215	0.367303	0.611289	0.891677	0.456462
2	47	0.648733	0.330019	0.537994	0.439507	0.862219	0.385630	69	12	0	7.873636	0.826090	0.237572	0.773573	0.297947	0.830260	0.702534	0.958387	0.563502
2	48	0.850465	0.255392	0.719600	0.856715	1.035809	1.028045	87	19	0	8.120413	0.965443	0.947803	0.902742	0.684253	0.955019	0.702534	0.955019	0.690908
2	49	0.786121	0.186037	0.716153	0.337350	0.238192	0.836586	103	19	0	8.948751	0.975385	0.968008	0.891357	0.926796	0.025176	0.730677	0.971376	0.800192
2	50	0.679402	0.439284	0.612962	0.553302	1.477921	0.642549	59	10	0	9.458927	0.952293	0.973140	0.841806	0.974262	0.025176	0.049711	0.944436	0.674391
2	51	0.590583	0.778023	0.671080	0.175901	3.081184	0.938522	64	12	0	8.745221	0.963999	0.933852	0.197081	0.951491	0.025176	0.049711	0.792014	0.811337
2	52	0.388631	0.403384	0.470597	-0.146910	1.121244	0.122348	37	8	0	9.197177	0.360568	0.808691	0.197081	0.728752	0.025176	0.049711	0.430484	0.508579
2	53	0.492814	0.435215	0.579790	0.395959	1.189306	0.895312	43	7	0	7.635772	0.726267	0.734365	0.603993	0.517720	0.025176	0.049711	0.911081	0.374198
2	54	0.688853	0.283535	0.721181	-0.398070	0.980479	0.717017	149	28	0	8.068427	0.940427	0.910760	0.928881	0.847739	0.025176	0.049711	0.960311	0.847819
2	55	0.619147	0.357000	0.675410	0.212125	1.028859	0.998048	74	15	0	7.742741	0.879009	0.751523	0.729634	0.870750	0.025176	0.049711	0.976187	0.671183
2	56	0.515705	0.289328	0.587533	0.436079	0.269068	0.828690	36	7	0	8.724280	0.919660	0.615539	0.914609	0.420863	0.025176	0.447883	0.370911	0.411001
2	57	0.799591	0.078436	0.755727	0.308894	-0.880443	0.949343	111	20	0	9.137763	0.972017	0.916052	0.989015	0.918457	0.025176	0.763871	0.888470	0.923669
2	58	0.742343	0.181867	0.695031	-0.003838	0.125094	0.617867	116	21	0	9.249153	0.948765	0.974743	0.914929	0.812781	0.025176	0.550353	0.906751	0.805244
