sid,name,type,cluster_best_k,best_k,k3_label,k4_label,k5_label,k6_label,k7_label,k8_label,k10_label
74,Al-Muddaththir,meccan,2,3,2,2,0,1,0,2,1
75,Al-Qiyamah,meccan,2,3,2,2,0,1,0,2,1
76,Al-Insan,medinan,2,3,2,2,0,1,0,2,1
77,Al-Mursalat,meccan,2,3,2,0,0,1,0,2,1
78,An-Naba,meccan,2,3,2,2,0,1,0,2,1
79,An-Nazi'at,meccan,2,3,2,2,0,1,0,2,1
80,'Abasa,meccan,2,3,2,2,0,1,0,2,1
81,At-Takwir,meccan,2,3,2,2,0,1,0,2,1
82,Al-Infitar,meccan,2,3,2,2,0,1,0,2,1
83,Al-Mutaffifin,meccan,2,3,2,2,0,1,0,2,1
84,Al-Inshiqaq,meccan,2,3,2,2,0,1,0,2,1
85,Al-Buruj,meccan,2,3,2,2,0,1,0,2,1
86,At-Tariq,meccan,2,3,2,2,0,1,0,3,7
87,Al-A'la,meccan,2,3,2,2,0,1,0,2,1
88,Al-Ghashiyah,meccan,2,3,2,2,0,1,0,2,1
89,Al-Fajr,meccan,2,3,2,2,0,1,0,2,1
90,Al-Balad,meccan,2,3,2,2,0,1,0,2,1
91,Ash-Shams,meccan,2,3,2,2,0,1,3,3,7
92,Al-Layl,meccan,2,3,2,2,0,1,0,2,1
93,Ad-Duhaa,meccan,2,3,2,2,0,1,3,3,7
94,Ash-Sharh,meccan,2,3,2,2,0,1,0,2,3
95,At-Tin,meccan,2,3,2,2,0,1,0,2,3
96,Al-'Alaq,meccan,2,3,2,2,0,1,0,2,3
97,Al-Qadr,meccan,2,3,2,2,0,1,3,3,7
98,Al-Bayyinah,medinan,0,3,0,1,3,3,2,0,5
99,Az-Zalzalah,medinan,2,3,2,2,0,1,0,2,3
100,Al-'Adiyat,meccan,2,3,2,2,0,1,0,2,1
101,Al-Qari'ah,meccan,2,3,2,2,0,1,3,3,7
102,At-Takathur,meccan,2,3,2,2,0,1,0,2,3
103,Al-'Asr,meccan,2,3,2,2,0,1,0,2,3
104,Al-Humazah,meccan,2,3,2,2,0,1,3,3,7
105,Al-Fil,meccan,2,3,2,2,4,5,6,6,9
106,Quraysh,meccan,2,3,2,2,0,1,3,3,7
107,Al-Ma'un,meccan,2,3,2,2,0,1,0,2,3
108,Al-Kawthar,meccan,2,3,2,2,0,1,0,2,3
109,Al-Kafirun,meccan,2,3,2,0,3,1,0,5,3
110,An-Nasr,medinan,2,3,2,2,0,1,0,3,3
111,Al-Masad,meccan,2,3,2,2,0,1,3,3,7
112,Al-Ikhlas,meccan,2,3,2,2,3,1,3,2,3
113,Al-Falaq,meccan,2,3,2,0,0,1,3,3,7
114,An-Nas,meccan,2,3,2,2,0,1,3,3,7
