sid,name,type,alpha,beta,dispersion,PC1,PC2,PC3,mean_verse_length,allah_density,qul_density,prophet_density,legal_density,eschat_density,book_ref_density,divine_name_density,loanword_density,mfdfa_width,lz_norm_log,inclusio,surah_length,muq_cardinality,noldeke_order
52,At-Tur,meccan,0.527304,0.877872,0.312492,0.0991383,-0.129903,-0.0549712,6.61224,6.12245,2.04082,0,6.12245,14.2857,4.08163,4.08163,0,0.922869,3.02379,0,49,0,40
53,An-Najm,meccan,0.591179,0.850271,0.328363,0.0286613,-0.0857926,0.0166424,6,6.45161,0,3.22581,0,6.45161,3.22581,1.6129,0,0.658068,3.01069,0,62,0,28
54,Al-Qamar,meccan,0.599061,0.839193,0.318296,-0.0527234,-0.24322,0.062224,6.36364,0,0,5.45455,1.81818,20,9.09091,0,0,0.812746,2.77092,0,55,0,49
55,Ar-Rahman,medinan,0.727058,0.769873,0.252715,-0.286015,-0.0109513,-0.0436599,4.55128,0,0,0,0,8.97436,1.28205,1.28205,0,0.783262,2.05799,0,78,0,43
56,Al-Waqi'ah,meccan,0.580572,0.907606,0.269877,-0.165984,-0.274195,-0.0365168,3.95833,0,1.04167,0,3.125,1.04167,3.125,3.125,0,0.341861,2.79107,0,96,0,41
57,Al-Hadid,medinan,0.691199,0.939145,0.341504,0.244152,0.179589,0.124259,21.3103,106.897,0,0,6.89655,20.6897,20.6897,34.4828,0,0.879762,2.7471,0,29,0,99
58,Al-Mujadila,medinan,0.719053,0.82605,0.335971,0.215244,0.28734,0.0142003,23.4545,181.818,0,0,18.1818,50,9.09091,4.54545,0,0.879762,2.55075,0,22,0,106
59,Al-Hashr,medinan,0.64359,0.892747,0.336183,0.21102,0.181018,0.113894,19.9167,116.667,0,0,8.33333,41.6667,16.6667,70.8333,0,0.879762,2.71636,1,24,0,102
60,Al-Mumtahanah,medinan,0.689605,0.833172,0.340138,0.177379,0.25262,0.0100517,29,161.538,0,15.3846,38.4615,15.3846,0,46.1538,0,0.879762,2.75526,1,13,0,110
61,As-Saf,medinan,0.581942,0.906643,0.39008,0.136347,0.238699,0.0960892,17,121.429,0,21.4286,14.2857,7.14286,0,28.5714,14.2857,0.879762,2.77463,0,14,0,98
62,Al-Jumu'ah,medinan,0.547118,0.916275,0.39693,0.0620601,0.216169,0.0919697,16.9091,109.091,27.2727,0,36.3636,9.09091,9.09091,63.6364,0,0.879762,2.91528,0,11,0,94
63,Al-Munafiqun,medinan,0.547045,0.892498,0.397741,0.149838,0.239869,-0.0778029,17.7273,109.091,0,0,9.09091,9.09091,0,0,0,0.879762,2.88779,1,11,0,104
64,At-Taghabun,medinan,0.554652,0.893707,0.411641,0.155692,0.305413,0.139056,14.6667,111.111,5.55556,0,16.6667,33.3333,0,22.2222,0,0.879762,2.87177,0,18,0,93
65,At-Talaq,medinan,0.60731,0.864142,0.363538,0.148846,0.307943,0.0453159,26.0833,208.333,0,0,16.6667,16.6667,0,16.6667,0,0.879762,2.81378,0,12,0,101
66,At-Tahrim,medinan,0.544804,0.910074,0.358918,0.130715,0.207659,0.0475396,22.3333,108.333,0,16.6667,58.3333,33.3333,8.33333,33.3333,0,0.879762,3.00451,0,12,0,109
67,Al-Mulk,meccan,0.61268,0.888025,0.324423,0.0582134,-0.0733713,0.0381802,11.6,10,20,0,0,16.6667,0,30,3.33333,1.29629,2.93451,0,30,0,63
68,Al-Qalam,meccan,0.525477,0.891536,0.298317,0.0296212,-0.208576,-0.215467,5.92308,0,0,0,7.69231,9.61538,5.76923,0,0,0.964593,3.06844,0,52,1,18
69,Al-Haqqah,meccan,0.524014,0.999761,0.300652,-0.169462,-0.146769,0.0617564,5.07692,1.92308,0,0,0,3.84615,9.61538,3.84615,0,1.22235,3.06071,0,52,0,38
70,Al-Ma'arij,meccan,0.46375,0.91094,0.304511,-0.0526996,-0.0160133,-0.0884718,5.04545,2.27273,0,0,6.81818,11.3636,0,0,0,0.702142,3.03254,0,44,0,42
71,Nuh,meccan,0.570359,0.943273,0.364388,0.0198782,-0.0733718,-0.11181,8.21429,25,0,7.14286,0,7.14286,0,0,0,0.879762,2.9044,0,28,0,51
72,Al-Jinn,meccan,0.669206,0.858078,0.320526,0.0351704,0.0201649,0.0427119,10.4643,35.7143,17.8571,0,7.14286,17.8571,3.57143,0,0,0.879762,2.86743,0,28,0,62
73,Al-Muzzammil,meccan,0.484099,0.928963,0.344226,0.00789519,0.0596982,-0.0342999,10.7,35,0,0,15,5,10,0,0,0.879762,3.02997,0,20,0,23
74,Al-Muddaththir,meccan,0.525115,0.876904,0.329712,-0.0151695,0.0531017,-0.0899068,4.73214,5.35714,0,0,7.14286,3.57143,3.57143,0,1.78571,1.20458,3.03154,0,56,0,2
75,Al-Qiyamah,meccan,0.500797,0.921625,0.313627,-0.327054,-0.0837376,-0.446794,4.125,0,0,0,0,7.5,7.5,0,0,0.292449,2.80735,0,40,0,36
76,Al-Insan,medinan,0.498378,0.935657,0.309445,-0.0265322,-0.0328553,-0.126635,8.06452,16.129,0,0,6.45161,6.45161,6.45161,0,0,0.798456,3.04851,0,31,0,52
77,Al-Mursalat,meccan,0.563393,0.873127,0.302243,-0.219372,-0.220404,-0.15444,3.64,0,0,0,0,0,0,0,0,0.143025,2.67802,0,50,0,32
78,An-Naba,meccan,0.433721,0.958058,0.311754,-0.146025,-0.23726,-0.177021,4.425,0,0,0,0,10,2.5,10,0,1.78826,2.94313,0,40,0,33
79,An-Nazi'at,meccan,0.406171,0.950481,0.322675,-0.180104,-0.117786,-0.118608,3.91304,2.17391,2.17391,2.17391,2.17391,8.69565,0,0,0,1.28098,3.08219,0,46,0,31
80,'Abasa,meccan,0.329656,0.943892,0.267293,-0.339018,-0.13935,0.0546906,3.16667,0,0,0,4.7619,2.38095,2.38095,0,0,0.193658,3.19436,0,42,0,17
81,At-Takwir,meccan,0.352359,0.97742,0.300363,-0.301376,0.0138593,-0.104401,3.58621,3.44828,0,0,3.44828,6.89655,0,0,0,0.879762,2.86645,0,29,0,27
82,Al-Infitar,meccan,0.497944,0.960347,0.36202,-0.348552,-0.0436424,-0.0870581,4.31579,5.26316,0,0,21.0526,10.5263,0,5.26316,0,0.879762,2.80818,0,19,0,26
83,Al-Mutaffifin,meccan,0.575316,0.867656,0.31308,-0.165529,-0.0749832,-0.107418,4.77778,0,0,0,5.55556,0,11.1111,0,0,1.10816,2.75081,0,36,0,37
84,Al-Inshiqaq,meccan,0.405258,0.943291,0.369771,-0.195892,-0.0139662,-0.132076,4.36,4,0,0,0,4,12,0,0,0.879762,2.99405,0,25,0,29
85,Al-Buruj,meccan,0.375848,0.964964,0.376862,-0.0481556,0.14193,-0.0288465,5.04545,13.6364,0,0,4.54545,18.1818,4.54545,27.2727,0,0.879762,2.97124,0,22,0,22
86,At-Tariq,meccan,0.68732,0.923094,0.343966,-0.308067,-0.138202,0.0770368,3.58824,0,0,0,0,0,0,0,0,0.879762,3.09067,0,17,0,15
87,Al-A'la,meccan,0.290574,0.982327,0.375695,-0.210055,-0.0679501,-0.0202307,3.84211,5.26316,0,10.5263,0,10.5263,5.26316,0,0,0.879762,3.11981,0,19,0,19
88,Al-Ghashiyah,meccan,0.400622,0.896756,0.31807,-0.241714,-0.0757056,-0.102628,3.53846,3.84615,0,0,0,11.5385,0,0,0,0.879762,3.06209,0,26,0,34
89,Al-Fajr,meccan,0.457758,0.918757,0.296464,-0.290189,0.0234906,-0.203297,4.7,0,0,0,3.33333,10,3.33333,0,0,0.632767,3.11558,0,30,0,35
90,Al-Balad,meccan,0.306584,1.0142,0.317739,-0.257236,0.0879288,0.0557184,4.1,0,0,0,10,5,0,0,0,0.879762,2.94942,0,20,0,11
91,Ash-Shams,meccan,0.68732,1.00132,0.312135,-0.289528,0.0644797,0.237529,3.6,13.3333,0,0,0,6.66667,0,0,0,0.879762,2.8604,0,15,0,16
92,Al-Layl,meccan,0.324661,0.960184,0.34938,-0.399417,-0.12956,0.126639,3.38095,0,0,0,0,4.7619,4.7619,0,0,0.879762,2.92872,0,21,0,10
93,Ad-Duhaa,meccan,0.68732,0.934878,0.304348,-0.532578,-0.138696,0.169178,3.63636,0,0,0,0,0,0,0,0,0.879762,2.97118,0,11,0,13
94,Ash-Sharh,meccan,0.68732,0.863379,0.223058,-0.47994,0.0925581,-0.272496,3.375,0,0,0,0,0,0,0,0,0.879762,3.11719,0,8,0,12
95,At-Tin,meccan,0.68732,1,0.386762,-0.286542,0.382879,-0.15181,4.25,12.5,0,0,25,0,0,0,0,0.879762,3.04293,0,8,0,20
96,Al-'Alaq,meccan,0.68732,0.946724,0.401864,-0.367672,0.0779744,-0.244329,3.84211,5.26316,0,0,5.26316,0,0,0,0,0.879762,2.94178,0,19,0,1
97,Al-Qadr,meccan,0.68732,0.899717,0.389803,-0.34744,-0.162671,0.373945,6,0,0,0,0,0,0,0,0,0.879762,2.98747,0,5,0,14
98,Al-Bayyinah,medinan,0.480235,0.850169,0.420008,-0.0474251,0.260927,0.163011,12.25,37.5,0,0,75,25,50,0,0,0.879762,2.77406,0,8,0,92
99,Az-Zalzalah,medinan,0.68732,0.966379,0.393762,-0.489755,0.0322644,-0.0781313,4.5,0,0,0,0,0,0,0,0,0.879762,2.75374,0,8,0,25
100,Al-'Adiyat,meccan,0.68732,0.937386,0.2582,-0.385674,0.00941476,-0.104815,3.72727,0,0,0,0,9.09091,0,0,0,0.879762,3.01223,0,11,0,30
101,Al-Qari'ah,meccan,0.68732,1.1164,0.234072,-0.451603,-0.157222,0.500318,3.27273,0,0,0,0,9.09091,0,0,0,0.879762,2.69182,0,11,0,24
102,At-Takathur,meccan,0.68732,0.735291,0.331738,-0.481605,0.110878,-0.320065,3.5,0,0,0,0,0,0,0,0,0.879762,2.74695,0,8,0,8
103,Al-'Asr,meccan,0.68732,0.876159,0.396686,-0.362046,0.318709,-0.352446,4.66667,0,0,0,0,0,0,0,0,0.879762,2.76479,0,3,0,21
104,Al-Humazah,meccan,0.68732,0.965664,0.241459,-0.266437,0.132501,0.201571,3.77778,11.1111,0,0,0,11.1111,0,0,0,0.879762,3.08013,0,9,0,6
105,Al-Fil,meccan,0.68732,0.989415,0.305986,-0.459515,-0.0212278,0.155637,4.6,0,0,0,20,0,0,0,20,0.879762,3.3605,0,5,0,9
106,Quraysh,meccan,0.68732,0.876159,0.275917,-0.377325,-0.139793,0.233009,4.25,0,0,0,0,0,0,0,0,0.879762,3.30474,0,4,0,4
107,Al-Ma'un,meccan,0.68732,1.00257,0.233187,-0.294641,0.247083,-0.203224,3.57143,0,0,0,14.2857,0,0,0,0,0.879762,2.88462,0,7,0,7
108,Al-Kawthar,meccan,0.68732,0.876159,0.246867,-0.395994,0.0727367,-0.294822,3.33333,0,0,0,0,0,0,0,0,0.879762,3.39834,0,3,0,5
109,Al-Kafirun,meccan,0.68732,0.653052,0.565789,-0.314094,0.0662138,0.0258297,4.5,0,16.6667,0,33.3333,0,0,0,0,0.879762,2.17332,0,6,0,45
110,An-Nasr,medinan,0.68732,0.93946,0.45848,-0.247289,0.252413,0.100464,6.66667,66.6667,0,0,33.3333,0,0,0,0,0.879762,3.38837,0,3,0,111
111,Al-Masad,meccan,0.68732,0.951759,0.199415,-0.42853,-0.135598,0.548226,4.6,0,0,0,20,20,0,0,0,0.879762,2.9862,0,5,0,3
112,Al-Ikhlas,meccan,0.68732,0.876159,0.413534,-0.289896,0.418615,0.0144939,3.75,50,25,0,0,0,0,25,0,0.879762,2.62508,0,4,0,44
113,Al-Falaq,meccan,0.68732,0.767885,0.244817,-0.389564,-0.00306561,0.36397,4.6,0,20,0,0,0,0,0,0,0.879762,2.6971,0,5,0,46
114,An-Nas,meccan,0.68732,0.943025,0.417065,-0.376553,0.0185226,0.381519,3.33333,0,16.6667,0,0,16.6667,0,0,0,0.879762,2.5446,0,6,0,47
